Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-23,2019-10-03,42.0,356.01,372.07,674.5200000000001,False
2019-11-06,2019-12-03,42.0,354.19,352.08,-88.62000000000057,False
2020-01-08,2020-01-15,45.0,331.37,329.8,-70.6499999999997,False
2020-02-06,2020-02-24,44.0,341.43,317.9,-1035.3200000000013,False
2020-03-30,2020-04-03,97.0,152.28,124.52,-2692.7200000000007,False
2020-04-13,2020-04-21,98.0,147.33,136.33,-1078.0,False
2020-05-21,2020-06-25,103.0,139.0,174.88,3695.6399999999994,False
2020-07-07,2020-07-08,83.0,178.88,180.08,99.60000000000142,False
2020-08-10,2020-08-20,83.0,179.41,169.58,-815.8899999999987,False
2020-08-27,2020-09-04,84.0,174.2,171.05,-264.5999999999981,False
2020-10-01,2020-10-16,87.0,167.86,167.35,-44.37000000000168,False
2020-10-21,2020-10-27,90.0,163.86,155.24,-775.8000000000004,False
2020-11-10,2020-12-18,77.0,188.69,219.75,2391.6200000000003,False
2021-02-05,2021-03-25,72.0,207.93,247.19,2826.7199999999993,False
2021-04-01,2021-04-14,60.0,252.96,252.43,-31.800000000000068,False
2021-05-25,2021-06-16,64.0,240.74,242.27,97.92000000000007,False
2021-06-28,2021-06-30,64.0,239.96,239.56,-25.600000000000364,False
2021-07-29,2021-08-19,66.0,231.63,212.16,-1285.02,False
2021-09-24,2021-10-15,68.0,221.39,217.04,-295.7999999999996,False
2021-11-08,2021-11-23,68.0,222.68,209.13,-921.4000000000008,False
2021-12-09,2021-12-15,72.0,207.56,195.43,-873.3599999999997,False
2021-12-28,2022-01-25,72.0,206.13,204.1,-146.16000000000008,False
2022-02-07,2022-02-23,70.0,211.92,196.42,-1085.0,False
2022-03-21,2022-04-07,79.0,185.9,177.97,-626.4700000000005,False
2022-04-21,2022-04-25,80.0,181.02,175.91,-408.8000000000011,False
2022-06-02,2022-06-14,103.0,140.5,122.16,-1889.0200000000004,False
2022-06-22,2022-08-23,104.0,137.16,160.07,2382.6399999999994,False
2022-08-31,2022-09-01,91.0,160.25,153.66,-599.6900000000003,False
2022-10-11,2022-10-12,110.0,131.57,130.42,-126.50000000000063,False
2022-10-17,2023-02-06,106.0,136.09,206.81,7496.32,False
2023-02-10,2023-02-22,73.0,212.89,205.76,-520.4899999999997,False
2023-03-07,2023-03-13,75.0,207.92,203.37,-341.24999999999875,False
2023-03-30,2023-04-18,73.0,211.04,208.37,-194.9099999999991,False
2023-05-16,2023-05-26,77.0,200.87,203.63,212.5199999999993,False
2023-06-02,2023-06-23,72.0,213.32,205.41,-569.5199999999998,False
2023-07-05,2023-07-20,72.0,213.31,213.61,21.60000000000082,False
2023-07-27,2023-08-18,66.0,233.75,226.65,-468.5999999999996,False
2023-11-02,2024-01-04,80.0,192.01,244.94,4234.400000000001,False
2024-02-13,2024-02-14,78.0,204.46,203.38,-84.24000000000098,False
2024-03-27,2024-04-05,83.0,191.95,183.14,-731.2300000000002,False
2024-05-03,2024-05-28,88.0,179.79,175.08,-414.4799999999982,False
2024-06-05,2024-06-17,83.0,189.85,178.39,-951.1800000000006,False
2024-07-01,2024-07-16,84.0,186.7,186.05,-54.59999999999809,False
