Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-20,2019-09-27,120.0,124.32,118.6,-686.3999999999999,False
2020-11-25,2020-12-23,161.0,92.14,85.69,-1038.4500000000005,False
2021-01-11,2021-02-02,160.0,91.6,87.06,-726.3999999999987,False
2021-02-08,2021-07-21,159.0,91.48,99.82,1326.0599999999984,False
2021-07-28,2021-08-20,146.0,101.18,94.3,-1004.4800000000014,False
2021-09-28,2022-07-12,142.0,103.36,138.92,5049.519999999999,False
2022-07-25,2022-09-28,103.0,148.48,145.78,-278.09999999999883,False
2022-10-05,2023-02-23,97.0,158.53,161.93,329.8000000000005,False
2023-04-05,2023-05-04,90.0,169.88,156.22,-1229.3999999999996,False
2023-07-28,2023-08-08,96.0,158.87,159.65,74.88000000000011,False
2023-08-14,2023-08-21,93.0,164.03,160.36,-341.3099999999988,False
2023-09-05,2023-10-26,91.0,166.46,154.75,-1065.6100000000008,False
2024-02-23,2024-02-29,97.0,154.66,152.01,-257.0500000000005,False
2024-03-19,2024-06-10,95.0,156.62,156.74,11.400000000000432,False
2024-06-26,2024-07-03,96.0,155.95,156.71,72.96000000000186,False
2024-07-05,2024-07-08,97.0,154.31,154.33,1.9400000000009925,False
