Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-07-30,2019-08-27,113.0,132.08,129.64,-275.720000000003,False
2019-09-17,2019-09-20,115.0,129.67,131.65,227.7000000000021,False
2019-09-23,2019-10-01,113.0,131.74,129.99,-197.75,False
2019-10-04,2019-10-24,111.0,133.66,127.5,-683.7599999999996,False
2019-11-04,2020-03-02,114.0,130.23,140.02,1116.0600000000022,False
2020-04-13,2020-06-16,107.0,139.77,144.46,501.82999999999976,False
2020-06-23,2020-06-24,105.0,142.86,139.82,-319.20000000000215,False
2020-07-14,2020-09-23,101.0,147.92,144.44,-351.479999999999,False
2020-10-02,2020-10-21,102.0,146.24,143.93,-235.62000000000023,False
2020-11-13,2020-11-25,99.0,149.9,143.68,-615.7799999999999,False
2020-12-04,2021-03-10,98.0,150.27,159.15,870.2399999999996,False
2021-03-11,2021-06-25,94.0,159.14,164.21,476.58000000000203,False
2021-06-28,2021-09-14,91.0,164.02,164.8,70.9800000000001,False
2021-12-13,2022-01-24,89.0,168.45,162.97,-487.7199999999991,False
2022-01-28,2022-02-17,87.0,171.79,166.19,-487.1999999999995,False
2022-03-08,2022-06-14,88.0,168.72,168.19,-46.6400000000001,False
2022-06-27,2022-07-20,82.0,182.12,170.71,-935.6199999999997,False
2022-10-27,2023-01-19,85.0,172.31,169.53,-236.3000000000001,False
2023-04-12,2023-04-25,90.0,163.92,165.18,113.40000000000174,False
2023-04-26,2023-05-09,90.0,162.62,161.05,-141.2999999999994,False
2023-06-16,2023-07-11,89.0,164.23,158.63,-498.3999999999995,False
2023-07-24,2023-08-30,85.0,171.08,163.73,-624.7500000000019,False
2023-12-07,2023-12-12,93.0,155.4,155.07,-30.690000000001163,False
2024-01-03,2024-02-06,90.0,160.97,158.06,-261.8999999999997,False
2024-02-23,2024-03-20,89.0,161.84,155.76,-541.1200000000011,False
