Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-12,2019-09-12,281.0,53.2,55.11,536.709999999999,False
2019-10-02,2019-10-03,284.0,53.08,53.84,215.84000000000145,False
2019-10-21,2019-10-30,278.0,54.23,53.94,-80.61999999999976,False
2019-11-20,2020-01-08,283.0,53.22,54.35,319.7900000000007,False
2020-01-13,2020-02-26,269.0,56.13,57.6,395.4299999999997,False
2020-04-01,2020-04-23,361.0,42.12,45.07,1064.950000000001,False
2020-05-01,2020-05-05,337.0,45.6,45.4,-67.40000000000096,False
2020-05-22,2020-06-16,341.0,45.03,46.77,593.3400000000007,False
2020-07-15,2020-08-04,332.0,46.4,46.69,96.27999999999972,False
2020-08-11,2020-08-24,322.0,47.93,47.97,12.879999999999725,False
2020-08-28,2020-09-23,310.0,49.83,48.21,-502.1999999999992,False
2020-10-09,2020-10-20,302.0,50.81,50.25,-169.1200000000007,False
2020-10-23,2020-10-29,304.0,50.52,48.02,-760.0,False
2020-11-09,2020-12-01,290.0,52.57,52.04,-153.70000000000033,False
2020-12-08,2020-12-23,286.0,53.18,53.08,-28.600000000000406,False
2020-12-29,2021-01-07,281.0,54.13,49.96,-1171.7700000000004,False
2021-02-08,2021-03-01,301.0,49.92,49.9,-6.020000000000941,False
2021-03-08,2021-05-03,291.0,51.64,54.48,826.4399999999989,False
2021-05-04,2021-06-17,280.0,54.14,54.95,226.80000000000064,False
2021-07-13,2021-08-09,276.0,55.02,56.65,449.87999999999874,False
2021-08-12,2021-08-24,268.0,56.84,56.01,-222.44000000000145,False
2021-09-03,2021-09-10,268.0,56.73,55.61,-300.1599999999993,False
2021-10-11,2021-11-19,280.0,54.23,55.13,252.0000000000016,False
2021-12-09,2022-01-26,277.0,54.86,59.6,1312.9800000000005,False
2022-02-02,2022-02-16,252.0,61.18,60.9,-70.56000000000029,False
2022-02-22,2022-03-09,247.0,62.28,58.96,-820.0400000000001,False
2022-03-22,2022-05-03,251.0,60.8,63.08,572.2800000000003,False
2022-05-16,2022-05-19,233.0,65.96,60.0,-1388.6799999999985,False
2022-05-31,2022-06-06,239.0,63.38,62.87,-121.89000000000122,False
2022-06-27,2022-07-14,240.0,62.91,62.18,-175.19999999999925,False
2022-07-28,2022-08-10,236.0,64.06,63.65,-96.76000000000087,False
2022-08-16,2022-08-29,232.0,65.03,62.73,-533.600000000001,False
2022-10-20,2022-10-21,272.0,55.08,55.96,239.3600000000007,False
2022-10-24,2022-12-20,261.0,57.57,62.79,1362.4199999999996,False
2022-12-27,2023-01-05,237.0,64.21,62.2,-476.36999999999784,False
2023-02-02,2023-02-03,252.0,60.28,59.83,-113.40000000000072,False
2023-02-27,2023-02-28,253.0,59.82,59.51,-78.43000000000058,False
2023-03-09,2023-03-14,255.0,59.46,60.03,145.35000000000008,False
2023-03-16,2023-05-10,251.0,60.3,63.5,803.2000000000007,False
2023-06-16,2023-06-30,248.0,61.67,60.22,-359.6000000000007,False
2023-07-18,2023-08-04,251.0,60.57,60.71,35.14000000000014,False
2023-10-23,2023-12-21,282.0,54.08,57.99,1102.620000000001,False
2024-01-02,2024-01-25,257.0,59.82,59.16,-169.62000000000094,False
2024-02-02,2024-02-12,254.0,60.54,59.7,-213.35999999999905,False
2024-02-22,2024-03-04,251.0,61.15,59.81,-336.33999999999907,False
2024-03-14,2024-04-05,253.0,60.5,59.51,-250.4700000000005,False
2024-04-23,2024-05-24,252.0,60.64,62.0,342.71999999999986,False
2024-06-05,2024-06-17,239.0,63.92,62.62,-310.700000000001,False
2024-06-26,2024-07-09,238.0,64.05,62.69,-323.67999999999984,False
