Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-22,2019-08-29,83.0,180.09,181.17,89.63999999999868,False
2019-09-03,2019-09-13,83.0,179.2,177.27,-160.1899999999982,False
2019-10-15,2019-10-23,83.0,178.75,171.32,-616.6900000000005,False
2019-10-30,2020-02-26,83.0,179.25,187.21,660.6800000000006,False
2020-04-09,2020-04-22,86.0,173.69,166.59,-610.5999999999995,False
2020-04-28,2020-06-18,87.0,171.25,193.91,1971.4199999999996,False
2020-06-19,2020-06-30,79.0,192.2,193.17,76.62999999999991,False
2020-07-07,2020-07-14,78.0,194.2,193.33,-67.85999999999814,False
2020-07-20,2020-08-04,76.0,198.47,192.29,-469.6800000000005,False
2020-08-10,2020-09-11,76.0,196.79,200.68,295.6400000000011,False
2020-10-06,2020-10-20,75.0,200.45,197.7,-206.25,False
2020-11-10,2020-12-16,70.0,213.31,208.27,-352.79999999999944,False
2020-12-21,2020-12-24,72.0,209.01,208.7,-22.320000000000164,False
2020-12-30,2021-01-14,69.0,218.36,201.86,-1138.5,False
2021-02-08,2021-03-23,72.0,206.89,208.15,90.72000000000139,False
2021-04-06,2021-05-13,68.0,218.65,223.74,346.12000000000023,False
2021-05-26,2021-08-05,65.0,227.07,240.21,854.1000000000009,False
2021-09-28,2021-10-05,66.0,225.56,224.28,-84.48000000000008,False
2021-10-08,2021-10-14,65.0,230.27,225.18,-330.85000000000025,False
2021-10-19,2021-10-28,64.0,233.52,209.84,-1515.5200000000004,False
2021-12-10,2022-01-14,69.0,213.4,214.67,87.62999999999874,False
2022-02-01,2022-02-24,63.0,232.36,217.3,-948.7800000000002,False
2022-03-21,2022-04-12,67.0,217.04,211.4,-377.8799999999991,False
2022-05-27,2022-06-14,68.0,212.88,193.52,-1316.479999999999,False
2022-06-30,2022-07-05,73.0,196.89,200.54,266.4500000000004,False
2022-07-11,2022-08-24,70.0,205.06,206.67,112.69999999999897,False
2022-10-21,2022-12-20,76.0,190.37,205.36,1139.2400000000007,False
2023-01-05,2023-02-22,69.0,211.11,220.02,614.7899999999997,False
2023-03-10,2023-03-13,68.0,216.14,214.47,-113.55999999999915,False
2023-03-27,2023-05-04,66.0,221.81,225.6,250.13999999999947,False
2023-05-10,2023-05-25,63.0,231.27,223.38,-497.07000000000096,False
2023-06-22,2023-07-31,64.0,228.39,237.73,597.7600000000002,False
2023-08-04,2023-08-22,61.0,238.99,240.57,96.37999999999903,False
2023-08-24,2023-09-20,61.0,239.47,241.86,145.7900000000009,False
2023-10-13,2023-10-24,62.0,237.67,234.65,-187.23999999999887,False
2023-11-03,2024-03-28,60.0,243.6,279.08,2128.7999999999993,False
2024-05-10,2024-05-28,53.0,280.74,270.98,-517.2799999999995,False
2024-06-10,2024-06-14,54.0,275.04,270.66,-236.51999999999975,False
2024-06-25,2024-06-28,54.0,273.53,262.47,-597.239999999997,False
