Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-06,2019-09-26,211.0,70.93,70.97,8.43999999999832,False
2019-10-17,2019-10-21,220.0,68.14,68.74,131.99999999999875,False
2019-10-24,2019-10-31,217.0,69.09,67.57,-329.8400000000022,False
2019-11-05,2019-11-14,204.0,73.09,68.5,-936.3600000000007,False
2019-11-29,2019-12-02,217.0,68.13,68.42,62.93000000000136,False
2019-12-10,2020-01-13,214.0,69.06,69.8,158.3599999999989,False
2020-03-31,2020-04-22,391.0,37.97,42.13,1626.5600000000015,False
2020-04-23,2020-05-14,347.0,43.45,42.3,-399.050000000002,False
2020-05-22,2020-06-16,337.0,44.6,48.2,1213.2000000000005,False
2020-07-17,2020-07-23,349.0,43.52,43.7,62.8199999999999,False
2020-07-28,2020-07-29,349.0,43.55,44.03,167.5200000000014,False
2020-07-30,2020-07-31,364.0,41.87,42.08,76.44000000000031,False
2020-08-10,2020-08-18,343.0,44.51,42.43,-713.4399999999994,False
2020-10-13,2020-10-19,443.0,34.22,33.42,-354.3999999999987,False
2020-11-06,2020-12-24,461.0,32.78,41.6,4066.02,False
2021-01-06,2021-01-28,352.0,44.61,46.06,510.400000000001,False
2021-02-08,2021-03-22,303.0,52.1,55.91,1154.4299999999985,False
2021-04-19,2021-04-22,282.0,56.48,55.27,-341.2199999999982,False
2021-04-29,2021-05-21,270.0,58.94,58.92,-5.399999999998926,False
2021-06-03,2021-07-06,260.0,61.18,61.37,49.39999999999941,False
2021-08-02,2021-08-03,276.0,57.58,58.2,171.12000000000126,False
2021-08-12,2021-08-16,278.0,57.35,55.94,-391.98000000000104,False
2021-08-30,2021-09-01,288.0,55.16,53.77,-400.3199999999981,False
2021-09-16,2021-09-23,283.0,55.82,57.08,356.5799999999994,False
2021-09-24,2021-11-16,275.0,57.59,65.02,2043.249999999998,False
2021-12-09,2021-12-17,258.0,62.61,60.03,-665.6399999999995,False
2021-12-29,2022-02-17,263.0,61.15,78.23,4492.040000000002,False
2022-03-03,2022-03-16,206.0,81.04,76.93,-846.6599999999999,False
2022-03-24,2022-04-26,199.0,83.38,82.29,-216.90999999999786,False
2022-05-04,2022-05-13,181.0,91.7,88.86,-514.0400000000006,False
2022-05-17,2022-06-16,179.0,92.11,91.39,-128.8799999999998,False
2022-07-21,2022-08-08,188.0,87.75,88.95,225.60000000000053,False
2022-08-12,2022-09-06,176.0,94.0,94.95,167.2000000000005,False
2022-09-13,2022-09-19,173.0,95.33,93.2,-368.4899999999992,False
2022-10-05,2022-11-29,166.0,99.12,110.54,1895.7200000000003,False
2022-12-27,2023-02-06,152.0,110.19,111.73,234.08000000000095,False
2023-02-13,2023-02-22,142.0,117.8,109.73,-1145.9399999999991,False
2023-03-07,2023-03-10,149.0,111.61,107.78,-570.6699999999997,False
2023-03-30,2023-05-03,151.0,109.49,107.93,-235.55999999999818,False
2023-06-08,2023-06-16,152.0,108.19,105.13,-465.12000000000035,False
2023-06-30,2023-07-11,153.0,107.25,105.97,-195.84000000000017,False
2023-07-26,2023-08-22,156.0,105.09,108.1,469.5599999999986,False
2023-08-31,2023-09-27,148.0,111.19,120.2,1333.4800000000007,False
2023-09-28,2023-10-05,139.0,119.47,108.99,-1456.7200000000005,False
2023-10-20,2023-10-26,148.0,111.08,107.6,-515.0400000000006,False
2023-11-27,2023-11-28,157.0,103.96,103.9,-9.419999999998126,False
2023-12-20,2024-01-02,162.0,101.27,102.36,176.58000000000055,False
2024-01-04,2024-01-11,160.0,102.32,98.67,-583.9999999999986,False
2024-01-26,2024-02-16,158.0,103.0,103.73,115.34000000000063,False
2024-02-20,2024-04-19,159.0,102.75,119.88,2723.669999999999,False
2024-04-24,2024-05-01,138.0,121.05,116.03,-692.7599999999994,False
2024-05-15,2024-05-23,140.0,118.58,113.51,-709.799999999999,False
2024-06-26,2024-07-10,144.0,114.41,111.92,-358.55999999999926,False
