Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-27,2019-10-28,39.0,382.86,340.88,-1637.2200000000007,False
2019-12-03,2019-12-18,41.0,352.08,330.68,-877.3999999999991,False
2020-02-25,2020-03-02,48.0,304.14,289.27,-713.7600000000002,False
2020-06-08,2020-07-31,62.0,230.5,158.0,-4495.0,False
2020-11-16,2021-01-21,68.0,202.4,207.41,340.6799999999994,False
2021-03-02,2021-05-06,62.0,223.14,229.81,413.540000000001,False
2021-06-14,2021-07-15,56.0,245.14,222.76,-1253.2799999999997,False
2021-10-18,2021-11-02,63.0,216.98,212.77,-265.2299999999987,False
2022-01-19,2022-03-04,63.0,217.08,180.84,-2283.120000000001,False
2022-07-13,2022-09-19,92.0,143.95,144.88,85.56000000000063,False
2022-11-09,2023-03-14,79.0,168.74,207.28,3044.6599999999994,False
2023-04-21,2023-05-09,67.0,205.15,201.88,-219.09000000000069,False
2023-06-12,2023-09-13,62.0,221.56,208.4,-815.9199999999998,False
2023-11-21,2024-01-25,62.0,218.27,201.88,-1016.180000000001,False
2024-05-29,2024-07-15,78.0,171.65,179.11,581.8800000000006,False
