Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-26,2019-08-27,291.0,51.37,50.98,-113.49000000000017,False
2019-09-04,2019-09-27,281.0,53.3,57.9,1292.6000000000004,False
2019-10-14,2019-10-21,270.0,56.13,55.96,-45.90000000000046,False
2019-10-25,2019-11-04,269.0,56.35,58.0,443.8499999999996,False
2019-11-05,2019-11-18,260.0,58.51,56.7,-470.5999999999988,False
2019-11-22,2019-12-05,253.0,59.9,59.84,-15.179999999998778,False
2019-12-09,2020-01-15,245.0,61.83,65.0,776.6500000000004,False
2020-02-14,2020-02-25,260.0,58.62,53.83,-1245.3999999999999,False
2020-03-26,2020-04-17,470.0,32.09,35.26,1489.8999999999974,False
2020-04-24,2020-05-18,424.0,36.09,43.6,3184.2399999999993,False
2020-05-21,2020-06-02,361.0,43.72,44.2,173.28000000000145,False
2020-06-05,2020-06-16,325.0,48.59,45.11,-1131.0000000000014,False
2020-07-17,2020-07-24,391.0,39.96,40.28,125.12000000000012,False
2020-08-11,2020-08-24,394.0,39.71,38.87,-330.96000000000134,False
2020-09-21,2020-09-25,454.0,34.36,33.7,-299.63999999999845,False
2020-10-08,2020-10-20,438.0,35.53,32.58,-1292.1000000000013,False
2020-11-09,2020-12-03,460.0,33.38,41.2,3597.2000000000003,False
2020-12-09,2020-12-18,372.0,42.7,40.98,-639.8400000000022,False
2021-01-06,2021-01-22,363.0,43.51,42.69,-297.6600000000001,False
2021-02-05,2021-03-19,355.0,44.42,52.6,2903.9,False
2021-03-31,2021-04-07,306.0,52.97,52.38,-180.53999999999888,False
2021-04-29,2021-05-25,304.0,53.13,54.88,532.0,False
2021-06-03,2021-06-21,273.0,59.47,60.45,267.5400000000011,False
2021-06-28,2021-07-12,273.0,59.59,59.8,57.32999999999829,False
2021-07-28,2021-08-04,287.0,56.72,54.93,-513.7299999999998,False
2021-08-12,2021-08-19,284.0,57.04,52.44,-1306.4000000000003,False
2021-08-27,2021-09-08,282.0,56.74,55.28,-411.72000000000025,False
2021-09-10,2021-09-13,286.0,55.73,57.59,531.9600000000019,False
2021-09-14,2021-11-02,282.0,56.94,73.03,4537.380000000001,False
2021-11-10,2021-11-16,229.0,73.0,72.64,-82.43999999999987,False
2021-11-26,2021-11-29,234.0,71.48,72.15,156.7800000000004,False
2021-11-30,2021-12-02,238.0,70.13,71.26,268.9400000000023,False
2021-12-09,2021-12-16,231.0,72.55,71.7,-196.3499999999987,False
2021-12-28,2022-01-26,229.0,73.12,87.06,3192.2599999999993,False
2022-01-31,2022-02-17,194.0,88.62,91.16,492.75999999999846,False
2022-03-02,2022-03-15,176.0,98.04,95.05,-526.2400000000016,False
2022-03-22,2022-04-01,169.0,101.77,100.58,-201.10999999999962,False
2022-04-14,2022-04-25,169.0,101.37,91.66,-1640.9900000000014,False
2022-05-04,2022-05-16,163.0,103.86,105.5,267.3200000000001,False
2022-05-18,2022-06-15,162.0,104.48,109.33,785.6999999999991,False
2022-07-21,2022-08-08,192.0,88.93,93.63,902.3999999999978,False
2022-08-12,2022-09-07,167.0,102.75,106.76,669.6700000000009,False
2022-09-14,2022-09-23,147.0,117.71,100.59,-2516.6399999999985,False
2022-10-05,2022-11-16,146.0,115.93,129.24,1943.2600000000002,False
2022-11-18,2022-11-21,134.0,128.59,125.49,-415.4000000000011,False
2022-12-22,2023-01-05,152.0,112.9,116.77,588.2399999999985,False
2023-01-11,2023-02-03,146.0,118.24,108.11,-1478.9799999999993,False
2023-02-15,2023-02-21,152.0,111.65,105.31,-963.6800000000005,False
2023-03-03,2023-03-14,155.0,108.64,101.36,-1128.4,False
2023-03-28,2023-04-20,171.0,97.93,103.78,1000.349999999999,False
2023-05-12,2023-05-18,170.0,99.43,100.74,222.69999999999797,False
2023-05-22,2023-06-01,163.0,103.73,99.53,-684.6000000000005,False
2023-06-08,2023-06-21,161.0,104.54,103.7,-135.24000000000055,False
2023-07-05,2023-08-07,161.0,104.02,114.48,1684.0600000000013,False
2023-08-14,2023-08-22,145.0,117.69,116.15,-223.29999999999885,False
2023-08-24,2023-08-25,148.0,114.8,116.52,254.55999999999983,False
2023-08-30,2023-09-22,143.0,118.7,119.16,65.7799999999991,False
2023-10-12,2023-10-26,141.0,121.11,118.31,-394.7999999999996,False
2023-11-07,2023-11-08,147.0,115.25,114.45,-117.59999999999958,False
2023-11-09,2023-11-10,149.0,114.15,115.61,217.53999999999905,False
2023-11-27,2023-12-04,148.0,114.8,114.53,-39.95999999999941,False
2023-12-18,2024-01-05,148.0,114.9,116.53,241.23999999999933,False
2024-01-29,2024-02-07,152.0,111.6,112.32,109.43999999999983,False
2024-02-13,2024-02-16,155.0,109.77,110.57,123.99999999999956,False
2024-02-23,2024-03-11,153.0,111.51,115.25,572.2199999999992,False
2024-03-12,2024-04-16,149.0,115.02,129.53,2161.9900000000007,False
2024-04-26,2024-05-02,134.0,130.24,122.25,-1070.6600000000012,False
2024-06-26,2024-07-09,152.0,113.61,111.19,-367.84000000000026,False
