Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-17,2019-10-08,121.0,123.89,111.71,-1473.7800000000009,False
2019-11-06,2019-12-04,123.0,119.9,116.94,-364.08000000000095,False
2019-12-30,2020-01-21,122.0,119.85,113.31,-797.879999999999,False
2020-04-17,2020-06-26,167.0,87.17,86.46,-118.57000000000133,False
2020-07-31,2020-08-04,173.0,83.94,86.49,441.1499999999995,False
2020-08-05,2020-08-14,168.0,87.2,90.35,529.1999999999986,False
2020-08-19,2020-08-28,170.0,86.39,85.63,-129.20000000000087,False
2020-11-12,2020-12-30,182.0,80.67,85.33,848.1199999999994,False
2021-01-19,2021-02-10,157.0,94.51,92.52,-312.4300000000014,False
2021-02-18,2021-04-08,155.0,95.0,103.02,1243.0999999999995,False
2021-05-07,2021-06-07,136.0,110.02,107.75,-308.71999999999946,False
2021-06-10,2021-07-01,137.0,108.41,106.21,-301.4000000000004,False
2021-09-29,2022-05-03,144.0,103.33,162.49,8519.04,False
2022-05-19,2022-06-22,96.0,166.86,147.87,-1823.0400000000009,False
2022-08-03,2022-09-20,102.0,155.36,156.28,93.83999999999872,False
2022-10-18,2022-12-08,97.0,162.72,173.54,1049.5399999999993,False
2023-01-12,2023-02-09,90.0,177.08,168.44,-777.6000000000013,False
2023-04-10,2023-05-09,94.0,168.29,159.12,-861.9799999999989,False
2023-06-21,2023-06-30,102.0,154.88,157.35,251.93999999999988,False
2023-07-14,2023-07-21,103.0,153.58,158.69,526.3299999999984,False
2023-07-26,2023-09-01,98.0,161.34,164.3,290.0800000000008,False
2023-09-05,2023-10-17,95.0,166.46,167.59,107.34999999999957,False
2023-12-19,2024-01-22,105.0,151.64,142.49,-960.7499999999976,False
2024-02-08,2024-03-14,102.0,154.06,155.7,167.2799999999986,False
2024-03-22,2024-05-30,102.0,154.66,158.26,367.1999999999994,False
