Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-10-03,2019-11-08,157.0,95.1,89.95,-808.5499999999987,False
2020-01-08,2020-03-18,164.0,90.4,79.28,-1823.6800000000007,False
2020-05-05,2020-06-04,175.0,83.14,88.44,927.4999999999995,False
2020-06-05,2020-07-07,164.0,89.49,80.82,-1421.8800000000003,False
2020-08-14,2020-09-03,176.0,82.15,81.14,-177.7600000000009,False
2020-10-01,2020-12-14,161.0,90.05,91.13,173.8799999999997,False
2021-02-05,2021-03-02,153.0,94.74,87.24,-1147.5,False
2021-03-29,2021-06-25,147.0,97.58,99.72,314.5800000000001,False
2021-07-26,2021-09-17,137.0,104.58,99.67,-672.6699999999995,False
2021-11-05,2021-12-01,140.0,101.68,96.62,-708.4000000000003,False
2021-12-27,2022-02-15,137.0,103.29,99.3,-546.6300000000012,False
2022-03-21,2022-05-20,132.0,106.16,109.83,484.4400000000002,False
2022-08-05,2022-09-21,129.0,109.16,104.29,-628.2299999999988,False
2022-11-25,2023-02-10,141.0,99.62,99.11,-71.91000000000072,False
2023-04-20,2023-05-24,143.0,98.22,90.16,-1152.5800000000004,False
2023-07-26,2023-08-25,145.0,95.56,90.58,-722.1000000000006,False
2023-10-04,2023-10-11,160.0,86.12,89.87,600.0,False
2023-11-28,2024-02-09,152.0,91.13,91.69,85.12000000000035,False
2024-03-28,2024-07-03,143.0,96.71,99.84,447.5900000000014,False
