Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-27,2019-09-27,68.0,218.21,229.86,792.2000000000004,False
2019-10-14,2019-11-06,64.0,234.18,234.01,-10.880000000001019,False
2019-12-26,2020-03-03,68.0,220.82,227.94,484.1600000000003,False
2020-04-07,2020-06-23,78.0,192.29,250.31,4525.56,False
2020-07-10,2020-09-09,63.0,250.11,277.04,1696.5900000000004,False
2020-10-09,2020-10-29,56.0,285.92,269.63,-912.2400000000011,False
2020-11-16,2020-11-20,57.0,279.57,269.81,-556.3199999999995,False
2020-12-28,2021-01-07,59.0,269.25,266.26,-176.41000000000054,False
2021-01-19,2021-02-09,58.0,273.19,276.77,207.63999999999908,False
2021-02-18,2021-02-26,56.0,283.05,258.34,-1383.760000000002,False
2021-03-18,2021-05-21,55.0,283.16,315.77,1793.5499999999977,False
2021-07-01,2021-08-20,49.0,321.54,329.24,377.29999999999944,False
2021-08-23,2021-08-25,48.0,327.74,323.88,-185.28000000000065,False
2021-09-10,2021-10-07,48.0,331.95,337.48,265.4400000000014,False
2021-10-18,2021-12-21,45.0,355.01,390.47,1595.7000000000016,False
2022-01-05,2022-01-18,39.0,407.24,366.72,-1580.2799999999993,False
2022-02-11,2022-02-16,45.0,350.29,350.09,-9.000000000002046,False
2022-03-21,2022-04-01,48.0,329.37,301.89,-1319.0400000000009,False
2022-04-25,2022-05-02,51.0,304.94,306.97,103.53000000000151,False
2022-05-03,2022-05-05,51.0,304.96,299.11,-298.34999999999826,False
2022-06-03,2022-06-17,51.0,305.08,270.73,-1751.8499999999983,False
2022-07-11,2022-08-31,54.0,286.39,288.42,109.6200000000016,False
2022-10-07,2022-10-24,54.0,284.32,283.26,-57.24000000000012,False
2022-11-01,2022-12-28,52.0,296.06,315.73,1022.8400000000008,False
2023-01-17,2023-01-30,47.0,327.53,314.24,-624.6299999999983,False
2023-02-07,2023-02-21,48.0,325.2,295.5,-1425.5999999999995,False
2023-04-06,2023-05-08,53.0,288.61,287.93,-36.04000000000036,False
2023-05-31,2023-08-22,54.0,283.45,324.48,2215.6200000000017,False
2023-09-11,2023-09-19,47.0,328.37,314.61,-646.7199999999996,False
2023-11-10,2024-01-10,53.0,291.59,356.8,3456.130000000002,False
2024-01-18,2024-02-06,45.0,357.9,356.25,-74.24999999999898,False
2024-02-08,2024-03-20,44.0,363.72,384.41,910.3599999999999,False
2024-03-22,2024-04-08,41.0,390.28,362.05,-1157.4299999999985,False
2024-05-10,2024-05-28,46.0,346.43,328.7,-815.5800000000008,False
2024-06-14,2024-07-08,46.0,346.84,339.6,-333.0399999999978,False
