Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-10,2019-09-27,88.0,169.61,168.04,-138.1600000000019,False
2019-10-23,2019-11-29,88.0,169.85,178.55,765.6000000000015,False
2019-12-23,2020-01-30,85.0,176.43,178.34,162.3499999999997,False
2020-02-19,2020-02-28,83.0,180.86,162.17,-1551.2700000000023,False
2020-04-08,2020-05-14,106.0,139.25,127.05,-1293.2000000000003,False
2020-05-29,2020-06-23,100.0,145.85,144.86,-98.99999999999807,False
2020-07-15,2020-08-07,96.0,151.93,155.11,305.28000000000065,False
2020-08-13,2020-09-23,92.0,158.98,158.79,-17.47999999999979,False
2020-10-09,2020-10-30,84.0,174.38,164.95,-792.1200000000006,False
2020-11-10,2020-12-30,72.0,201.98,210.95,645.8399999999999,False
2021-02-17,2021-05-04,72.0,201.9,225.43,1694.16,False
2021-05-17,2021-05-25,66.0,226.47,224.04,-160.38000000000045,False
2021-06-03,2021-06-17,65.0,229.2,216.29,-839.1499999999997,False
2021-07-12,2021-08-18,65.0,225.02,228.42,220.99999999999852,False
2021-10-18,2021-11-05,67.0,220.63,226.06,363.81000000000046,False
2021-11-08,2021-11-24,65.0,225.73,212.21,-878.7999999999988,False
2021-12-23,2021-12-30,71.0,205.22,207.11,134.19000000000105,False
2022-01-06,2022-01-27,70.0,210.82,200.65,-711.8999999999992,False
2022-03-11,2022-03-15,80.0,182.24,187.79,443.99999999999864,False
2022-03-17,2022-04-13,76.0,191.93,194.85,221.91999999999905,False
2022-05-05,2022-05-23,74.0,197.87,189.58,-613.4599999999994,False
2022-06-08,2022-06-14,75.0,194.52,183.28,-843.0000000000007,False
2022-07-26,2022-09-01,80.0,181.42,190.73,744.8000000000002,False
2022-10-14,2022-12-12,84.0,174.16,214.5,3388.5600000000004,False
2023-01-04,2023-01-09,72.0,210.04,210.67,45.35999999999967,False
2023-04-10,2023-05-16,79.0,191.68,191.61,-5.529999999999461,False
2023-06-09,2023-07-28,76.0,197.89,195.19,-205.19999999999914,False
2023-09-13,2023-10-04,79.0,191.59,182.5,-718.1100000000002,False
2023-11-09,2024-01-12,81.0,183.68,201.1,1411.019999999999,False
2024-02-01,2024-02-06,77.0,197.31,193.64,-282.5900000000012,False
2024-02-27,2024-03-19,76.0,198.18,199.04,65.35999999999888,False
2024-03-20,2024-03-22,75.0,201.18,200.73,-33.75000000000128,False
2024-03-28,2024-04-12,74.0,205.25,196.16,-672.6600000000003,False
2024-05-07,2024-06-04,76.0,196.85,207.23,788.8799999999997,False
2024-06-11,2024-07-15,72.0,209.48,215.72,449.28000000000065,False
