Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-30,2020-02-25,125.0,119.14,122.59,431.25000000000034,False
2020-05-05,2020-09-29,144.0,104.0,111.53,1084.3200000000002,False
2020-10-26,2021-07-02,132.0,114.64,148.87,4518.360000000001,False
2021-08-12,2021-09-28,104.0,151.8,147.48,-449.28000000000225,False
2021-10-27,2021-12-14,104.0,151.27,151.69,43.6799999999987,False
2021-12-31,2022-02-14,101.0,156.63,152.48,-419.15000000000055,False
2022-04-01,2022-05-09,100.0,156.38,145.07,-1131.0000000000002,False
2022-08-10,2022-09-20,106.0,147.15,138.81,-884.0400000000004,False
2022-11-08,2023-01-06,107.0,144.35,149.39,539.2799999999992,False
2023-01-20,2023-03-14,103.0,151.02,146.59,-456.2900000000007,False
2023-04-24,2023-08-29,101.0,153.02,162.05,912.0300000000001,False
2023-11-21,2024-04-29,95.0,163.06,180.91,1695.7499999999995,False
2024-05-21,2024-07-03,85.0,185.92,181.52,-373.99999999999807,False
