Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-01,2019-08-05,288.0,52.03,51.65,-109.44000000000074,False
2019-08-13,2019-09-11,280.0,53.5,54.77,355.6000000000009,False
2019-09-30,2019-10-03,276.0,54.44,53.84,-165.59999999999843,False
2019-10-21,2019-10-30,276.0,54.23,53.94,-80.03999999999976,False
2019-11-19,2019-12-16,282.0,53.08,54.42,377.88000000000096,False
2019-12-18,2020-01-08,279.0,53.91,54.35,122.76000000000136,False
2020-01-14,2020-02-25,269.0,56.0,57.82,489.5800000000001,False
2020-03-09,2020-03-10,292.0,51.86,53.66,525.5999999999992,False
2020-03-31,2020-04-22,344.0,44.25,45.68,491.9199999999999,False
2020-05-01,2020-05-06,335.0,45.6,44.75,-284.75000000000045,False
2020-05-26,2020-06-15,331.0,46.09,46.3,69.50999999999793,False
2020-07-08,2020-08-04,338.0,45.07,46.69,547.5599999999991,False
2020-08-12,2020-08-21,316.0,48.43,47.28,-363.3999999999995,False
2020-08-31,2020-09-23,308.0,49.53,48.21,-406.56000000000006,False
2020-10-05,2020-10-20,308.0,49.38,50.25,267.95999999999924,False
2020-10-27,2020-10-29,306.0,49.9,48.02,-575.2799999999986,False
2020-11-09,2020-11-23,288.0,52.57,52.68,31.679999999999836,False
2020-12-08,2020-12-23,285.0,53.18,53.08,-28.500000000000405,False
2020-12-30,2021-01-07,279.0,54.44,49.96,-1249.9199999999992,False
2021-01-29,2021-02-03,311.0,48.15,48.77,192.82000000000141,False
2021-02-08,2021-03-01,301.0,49.92,49.9,-6.020000000000941,False
2021-03-09,2021-03-19,295.0,50.86,50.81,-14.749999999999162,False
2021-03-23,2021-04-29,292.0,51.39,54.26,838.0399999999993,False
2021-05-06,2021-05-19,277.0,54.54,54.17,-102.4899999999993,False
2021-05-20,2021-05-24,277.0,54.65,54.8,41.549999999999606,False
2021-05-25,2021-06-16,276.0,54.79,54.67,-33.119999999999294,False
2021-07-12,2021-08-05,277.0,54.48,56.5,559.5400000000009,False
2021-08-13,2021-08-24,266.0,57.23,56.01,-324.5199999999997,False
2021-09-03,2021-09-13,267.0,56.73,56.07,-176.2199999999991,False
2021-10-08,2021-10-25,279.0,54.12,54.23,30.68999999999984,False
2021-10-26,2021-11-18,278.0,54.47,55.41,261.31999999999937,False
2021-12-09,2022-01-25,276.0,54.86,59.82,1368.9600000000003,False
2022-02-03,2022-02-15,249.0,61.61,60.91,-174.3000000000007,False
2022-02-22,2022-03-09,246.0,62.28,58.96,-816.72,False
2022-03-21,2022-05-03,251.0,60.58,63.08,627.5,False
2022-05-11,2022-05-12,238.0,64.31,64.51,47.600000000000676,False
2022-05-13,2022-05-20,233.0,65.72,60.98,-1104.4200000000005,False
2022-05-31,2022-06-07,239.0,63.38,63.25,-31.07000000000061,False
2022-06-27,2022-07-13,241.0,62.91,62.38,-127.72999999999857,False
2022-07-28,2022-08-09,236.0,64.06,63.05,-238.3600000000012,False
2022-08-16,2022-08-26,232.0,65.03,63.11,-445.4400000000004,False
2022-09-13,2022-09-15,249.0,60.47,59.53,-234.05999999999943,False
2022-10-19,2022-11-08,268.0,55.96,59.6,975.5200000000002,False
2022-11-11,2022-12-14,247.0,61.32,63.99,659.4900000000005,False
2022-12-15,2022-12-16,241.0,63.11,62.75,-86.75999999999986,False
2022-12-19,2022-12-20,242.0,62.84,62.79,-12.100000000001032,False
2022-12-28,2023-01-05,239.0,63.57,62.2,-327.4299999999994,False
2023-01-30,2023-02-07,250.0,60.64,60.07,-142.50000000000006,False
2023-02-24,2023-03-02,253.0,59.84,59.72,-30.36000000000115,False
2023-03-09,2023-03-16,255.0,59.46,60.3,214.19999999999905,False
2023-03-17,2023-05-09,253.0,60.02,63.39,852.6099999999993,False
2023-06-08,2023-06-14,254.0,60.37,60.86,124.4600000000005,False
2023-06-16,2023-06-29,249.0,61.67,60.02,-410.8499999999996,False
2023-07-18,2023-08-03,252.0,60.57,61.64,269.6400000000001,False
2023-10-19,2023-11-16,282.0,54.35,57.15,789.5999999999992,False
2023-11-17,2023-12-21,269.0,57.26,57.99,196.37000000000108,False
2024-01-02,2024-01-23,258.0,59.82,59.85,7.740000000000293,False
2024-02-02,2024-02-12,255.0,60.54,59.7,-214.19999999999905,False
2024-02-22,2024-03-04,252.0,61.15,59.81,-337.67999999999904,False
2024-03-14,2024-03-22,254.0,60.5,60.49,-2.5399999999994947,False
2024-03-26,2024-04-05,254.0,60.54,59.51,-261.6200000000003,False
2024-04-23,2024-05-21,253.0,60.64,62.91,574.309999999999,False
2024-06-05,2024-06-14,241.0,63.92,62.55,-330.1700000000011,False
2024-06-26,2024-07-08,240.0,64.05,62.96,-261.5999999999991,False
