Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-15,2019-09-16,276.0,54.29,54.58,80.03999999999976,False
2019-09-25,2019-10-22,261.0,57.34,59.06,448.91999999999973,False
2019-10-23,2019-10-24,255.0,59.0,59.39,99.45000000000014,False
2019-10-25,2019-11-08,254.0,59.22,55.52,-939.7999999999989,False
2019-11-26,2020-03-03,254.0,58.73,66.29,1920.2400000000023,False
2020-04-07,2020-05-05,266.0,57.12,57.53,109.06000000000098,False
2020-05-27,2020-06-23,253.0,60.28,60.8,131.55999999999898,False
2020-07-13,2020-08-25,238.0,64.06,70.33,1492.259999999999,False
2020-08-26,2020-08-27,222.0,69.75,69.72,-6.660000000000252,False
2020-09-16,2020-09-21,221.0,70.09,69.05,-229.8400000000014,False
2020-09-22,2020-09-24,222.0,69.52,69.39,-28.85999999999899,False
2020-09-28,2020-09-30,217.0,71.04,69.39,-358.0500000000012,False
2020-10-06,2020-11-03,212.0,72.57,76.02,731.4000000000005,False
2020-11-13,2020-12-01,201.0,77.19,74.15,-611.0399999999984,False
2020-12-23,2021-02-09,207.0,74.33,83.83,1966.5,False
2021-02-16,2021-02-17,193.0,81.19,80.68,-98.42999999999824,False
2021-03-23,2021-03-26,212.0,74.02,74.06,8.480000000001326,False
2021-04-05,2021-05-03,204.0,76.78,76.7,-16.319999999999652,False
2021-06-03,2021-06-07,217.0,72.37,72.47,21.699999999998766,False
2021-06-21,2021-09-21,211.0,74.33,81.92,1601.4900000000007,False
2021-10-18,2022-01-10,196.0,80.99,84.29,646.8000000000022,False
2022-03-04,2022-04-21,200.0,80.21,76.18,-805.9999999999974,False
2022-05-26,2022-06-21,212.0,75.04,72.73,-489.7200000000005,False
2022-07-05,2022-07-28,200.0,79.11,84.54,1086.0000000000014,False
2022-07-29,2022-08-31,189.0,84.49,85.06,107.7300000000014,False
2022-09-16,2022-09-23,189.0,84.79,82.52,-429.0300000000019,False
2022-11-03,2022-12-28,204.0,78.18,83.16,1015.9199999999979,False
2023-01-17,2023-01-26,187.0,85.74,76.4,-1746.5799999999979,False
2023-03-16,2023-04-28,208.0,76.23,76.63,83.19999999999823,False
2023-05-24,2023-05-25,213.0,74.24,73.39,-181.0499999999988,False
2023-06-16,2023-07-07,209.0,75.59,72.05,-739.8600000000013,False
2023-07-25,2023-08-07,208.0,75.44,68.64,-1414.3999999999994,False
2023-09-19,2023-09-28,229.0,67.59,57.08,-2406.7900000000013,False
2023-10-25,2023-11-20,268.0,56.46,57.34,235.84000000000069,False
2023-11-30,2024-01-05,259.0,58.51,62.08,924.6300000000001,False
2024-01-08,2024-01-22,243.0,62.92,56.85,-1475.01,False
2024-03-14,2024-06-13,253.0,59.54,73.18,3450.920000000002,False
