Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-21,2019-09-24,113.0,132.34,135.36,341.2600000000011,False
2019-10-07,2019-10-24,108.0,138.34,137.89,-48.60000000000184,False
2019-11-29,2020-01-02,110.0,135.83,135.82,-1.100000000002126,False
2020-01-21,2020-02-28,106.0,141.86,132.03,-1041.9800000000014,False
2020-04-07,2020-05-04,114.0,130.48,130.92,50.15999999999974,False
2020-05-19,2020-05-27,113.0,131.73,130.81,-103.95999999999859,False
2020-06-11,2020-06-12,116.0,127.84,129.0,134.5599999999996,False
2020-06-17,2020-06-18,113.0,131.76,132.78,115.26000000000116,False
2020-06-19,2020-06-22,113.0,131.28,131.05,-25.989999999998844,False
2020-07-07,2020-08-19,111.0,133.57,136.45,319.6799999999995,False
2020-08-25,2020-09-16,108.0,137.3,134.98,-250.56000000000233,False
2020-10-06,2020-10-29,109.0,135.7,133.99,-186.38999999999777,False
2020-11-13,2020-12-24,102.0,144.71,145.06,35.69999999999942,False
2020-12-29,2021-01-13,101.0,147.42,142.59,-487.8299999999984,False
2021-03-17,2021-05-10,110.0,133.62,146.72,1440.9999999999993,False
2021-05-12,2021-06-18,104.0,144.23,145.42,123.75999999999976,False
2021-07-08,2021-08-11,100.0,149.86,155.04,517.9999999999978,False
2021-08-23,2021-09-07,95.0,157.85,154.53,-315.39999999999935,False
2021-10-14,2021-12-01,94.0,159.26,160.16,84.60000000000053,False
2021-12-13,2022-01-27,88.0,169.81,169.37,-38.7199999999998,False
2022-03-28,2022-05-06,91.0,165.73,170.41,425.8800000000006,False
2022-07-01,2022-09-02,89.0,169.39,170.66,113.03000000000091,False
2022-10-19,2022-11-21,87.0,173.36,184.82,997.0199999999982,False
2022-11-22,2022-12-16,82.0,184.84,180.34,-369.0,False
2023-02-13,2023-03-08,85.0,177.77,173.11,-396.0999999999997,False
2023-03-22,2023-05-25,86.0,176.51,183.8,626.9400000000018,False
2023-06-23,2023-07-13,82.0,186.07,187.53,119.72000000000065,False
2023-07-18,2023-07-19,83.0,184.45,186.26,150.2300000000002,False
2023-07-24,2023-08-09,80.0,190.92,183.98,-555.1999999999998,False
2023-09-20,2023-09-28,85.0,178.38,169.5,-754.7999999999996,False
2023-11-02,2023-12-12,90.0,166.83,168.47,147.59999999999877,False
2023-12-14,2023-12-19,90.0,168.25,167.95,-27.000000000001023,False
2023-12-26,2023-12-29,89.0,168.86,169.84,87.21999999999909,False
2024-01-03,2024-01-18,87.0,172.95,167.17,-502.8600000000001,False
2024-02-05,2024-02-23,88.0,170.92,169.6,-116.1599999999994,False
2024-03-21,2024-04-12,87.0,172.45,168.1,-378.4499999999995,False
2024-04-25,2024-06-03,85.0,176.68,171.23,-463.2500000000015,False
