Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-19,2019-10-14,124.0,120.24,120.05,-23.559999999999718,False
2019-10-31,2019-11-13,120.0,124.51,120.65,-463.19999999999993,False
2019-11-27,2020-01-06,122.0,121.76,122.75,120.77999999999938,False
2020-01-22,2020-02-12,118.0,126.31,123.45,-337.4799999999999,False
2020-02-19,2020-02-21,118.0,125.44,126.7,148.6800000000006,False
2020-04-07,2020-05-05,132.0,112.77,116.01,427.6800000000012,False
2020-06-04,2020-06-25,129.0,116.05,117.89,237.36000000000044,False
2020-06-30,2020-09-18,125.0,119.57,137.37,2225.0000000000014,False
2020-10-05,2020-10-30,110.0,139.39,137.1,-251.89999999999912,False
2020-11-16,2020-11-30,107.0,142.43,138.87,-380.92000000000024,False
2020-12-30,2021-01-19,110.0,137.77,133.6,-458.70000000000175,False
2021-03-18,2021-04-27,117.0,128.7,131.18,290.1600000000021,False
2021-05-13,2021-06-03,110.0,137.72,135.85,-205.7000000000005,False
2021-07-07,2021-09-07,110.0,137.0,143.51,716.099999999999,False
2021-09-14,2021-09-28,105.0,145.43,140.59,-508.2000000000004,False
2021-10-19,2021-11-01,108.0,140.66,142.64,213.8399999999989,False
2021-11-05,2022-01-19,104.0,146.04,162.0,1659.8400000000008,False
2022-02-03,2022-02-15,94.0,164.14,156.82,-688.0799999999994,False
2022-03-29,2022-05-06,99.0,155.46,156.0,53.45999999999921,False
2022-07-05,2022-07-25,106.0,144.7,143.99,-75.25999999999783,False
2022-08-08,2022-08-31,106.0,145.27,137.94,-776.9800000000014,False
2022-10-26,2023-01-13,116.0,131.78,150.88,2215.5999999999995,False
2023-03-06,2023-03-10,111.0,140.35,137.19,-350.75999999999965,False
2023-03-17,2023-03-20,108.0,142.93,145.13,237.59999999999877,False
2023-03-21,2023-05-18,108.0,144.08,152.53,912.5999999999988,False
2023-06-21,2023-07-19,105.0,149.44,150.29,89.2499999999994,False
2023-07-26,2023-08-22,102.0,153.94,151.83,-215.2199999999985,False
2023-09-11,2023-09-19,101.0,154.75,153.6,-116.15000000000057,False
2023-09-20,2023-09-22,102.0,153.47,151.58,-192.7799999999986,False
2023-10-24,2023-12-06,104.0,149.9,146.65,-338.0,False
2024-01-04,2024-04-04,105.0,148.65,155.45,713.9999999999982,False
2024-04-26,2024-06-03,97.0,161.29,164.65,325.9200000000013,False
2024-06-14,2024-07-03,94.0,166.79,163.83,-278.2399999999981,False
