Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-30,2020-02-28,138.0,108.08,103.47,-636.18,False
2020-05-05,2020-10-01,159.0,93.16,108.5,2439.0600000000004,False
2020-10-22,2021-07-16,134.0,113.55,149.31,4791.840000000001,False
2021-07-20,2021-10-01,107.0,149.39,151.84,262.1500000000018,False
2021-10-27,2021-12-17,102.0,156.45,156.96,52.02000000000197,False
2022-01-03,2022-01-31,98.0,162.89,155.64,-710.5,False
2022-04-01,2022-05-04,100.0,158.22,153.22,-500.0,False
2022-08-05,2022-09-20,108.0,145.88,136.91,-968.7599999999999,False
2022-11-11,2023-01-06,107.0,146.08,145.23,-90.95000000000243,False
2023-01-25,2023-03-14,105.0,149.32,140.7,-905.1000000000005,False
2023-04-28,2023-05-25,107.0,145.14,139.92,-558.5399999999998,False
2023-06-16,2023-08-28,103.0,148.83,148.31,-53.560000000001054,False
2023-11-27,2024-04-26,105.0,146.61,162.43,1661.0999999999992,False
2024-05-23,2024-07-05,95.0,164.85,163.68,-111.14999999999881,False
