Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-07,2019-08-15,77.0,193.6,198.8,400.40000000000134,False
2019-08-16,2019-08-22,79.0,190.0,183.5,-513.5,False
2019-08-29,2019-09-04,82.0,181.9,179.3,-213.19999999999953,False
2019-09-25,2019-10-14,87.0,170.1,172.5,208.8000000000005,False
2019-12-06,2019-12-11,104.0,143.9,144.4,52.0,False
2020-01-28,2020-02-07,118.0,126.4,120.0,-755.2000000000007,False
2020-02-25,2020-03-09,104.0,142.6,194.9,5439.200000000001,False
2020-03-10,2020-03-30,94.0,165.6,152.5,-1231.3999999999994,False
2020-04-27,2020-04-29,146.0,105.7,99.0,-978.2000000000004,False
2020-05-08,2020-05-12,155.0,98.7,104.7,930.0,False
2020-05-18,2020-05-21,162.0,95.1,95.0,-16.19999999999908,False
2020-06-16,2020-06-23,201.0,76.9,76.5,-80.40000000000114,False
2020-06-29,2020-07-07,189.0,81.6,74.1,-1417.5,False
2020-07-30,2020-08-03,228.0,66.8,63.9,-661.1999999999997,False
2020-09-09,2020-09-21,268.0,56.6,62.6,1608.0,False
2020-09-22,2020-10-01,254.0,60.6,56.6,-1016.0,False
2020-10-21,2020-11-06,286.0,53.3,48.8,-1287.0,False
2020-12-15,2020-12-18,365.0,41.2,40.7,-182.5,False
2021-02-01,2021-02-08,396.0,37.92,33.8,-1631.5200000000018,False
2021-02-23,2021-03-11,428.0,34.54,32.48,-881.680000000001,False
2021-03-24,2021-03-31,436.0,33.58,31.34,-976.6399999999993,False
2021-05-07,2021-05-10,564.0,25.71,26.47,428.63999999999885,False
2021-05-13,2021-05-21,523.0,27.85,26.84,-528.2300000000008,False
2021-06-21,2021-06-28,571.0,25.37,24.19,-673.7799999999999,False
2021-07-20,2021-07-27,613.0,23.49,22.17,-809.159999999998,False
2021-08-06,2021-08-09,660.0,21.63,21.68,33.00000000000047,False
2021-08-23,2021-08-26,683.0,20.89,21.01,81.96000000000068,False
2021-09-13,2021-09-29,682.0,20.94,22.38,982.0799999999984,False
2021-10-01,2021-10-11,646.0,22.36,22.23,-83.97999999999936,False
2021-11-16,2021-11-18,821.0,17.56,17.5,-49.25999999999895,False
2021-11-29,2021-12-09,801.0,18.0,17.65,-280.35000000000116,False
2021-12-20,2021-12-28,768.0,18.71,16.18,-1943.0400000000009,False
2022-01-07,2022-02-02,816.0,17.27,18.02,612.0,False
2022-02-14,2022-03-03,703.0,20.16,20.33,119.5099999999987,False
2022-03-09,2022-03-18,666.0,21.3,18.62,-1784.8799999999999,False
2022-04-07,2022-05-20,777.0,17.93,25.76,6083.910000000002,False
2022-05-24,2022-05-31,597.0,24.83,21.42,-2035.769999999998,False
2022-06-10,2022-06-27,578.0,25.13,24.44,-398.8199999999987,False
2022-07-06,2022-07-11,569.0,25.44,25.18,-147.94000000000088,False
2022-07-15,2022-07-21,578.0,24.98,22.37,-1508.5799999999997,False
2022-08-24,2022-09-13,717.0,19.83,22.6,1986.0900000000022,False
2022-09-19,2022-10-06,627.0,23.15,25.68,1586.3100000000006,False
2022-10-13,2022-10-20,546.0,27.04,26.94,-54.599999999998836,False
2022-11-07,2022-11-11,622.0,23.7,20.12,-2226.759999999999,False
2022-12-09,2023-01-06,692.0,20.84,21.29,311.3999999999995,False
2023-01-25,2023-01-26,746.0,19.4,18.79,-455.0599999999996,False
2023-02-14,2023-02-21,813.0,17.71,19.56,1504.0499999999984,False
2023-02-22,2023-03-07,744.0,19.64,19.74,74.39999999999841,False
2023-03-13,2023-03-21,671.0,21.8,19.13,-1791.570000000001,False
2023-04-26,2023-05-03,776.0,18.52,18.04,-372.48000000000036,False
2023-05-09,2023-05-12,811.0,17.65,17.63,-16.219999999999654,False
2023-05-31,2023-06-02,847.0,16.89,15.75,-965.5800000000005,False
2023-06-27,2023-07-03,966.0,14.66,13.93,-705.1800000000004,False
2023-07-13,2023-07-14,1044.0,13.47,13.49,20.879999999999555,False
2023-08-04,2023-08-29,1016.0,13.84,13.7,-142.24000000000058,False
2023-09-12,2023-10-11,996.0,14.1,14.87,766.9199999999996,False
2023-10-20,2023-11-03,855.0,16.56,15.1,-1248.2999999999993,False
2024-01-05,2024-01-12,1151.0,12.14,11.52,-713.6200000000011,False
2024-02-21,2024-02-23,1347.0,10.29,9.64,-875.5499999999981,False
2024-04-05,2024-04-29,1527.0,8.99,9.52,809.309999999999,False
2024-05-30,2024-06-07,1550.0,8.94,8.42,-805.9999999999993,False
