Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-10-29,2020-02-20,59.0,252.29,302.13,2940.5600000000004,False
2020-04-27,2020-07-09,52.0,293.98,291.16,-146.63999999999965,False
2020-07-15,2020-09-22,50.0,304.07,294.26,-490.5000000000001,False
2020-10-19,2021-02-09,47.0,324.22,329.63,254.2699999999985,False
2021-03-19,2021-06-24,42.0,365.58,398.87,1398.1800000000007,False
2021-07-20,2021-09-24,37.0,412.97,407.08,-217.9300000000016,False
2021-10-28,2022-02-01,34.0,455.44,468.41,440.9800000000009,False
2022-03-03,2022-05-16,32.0,486.59,489.22,84.16000000000167,False
2022-07-12,2022-09-16,30.0,514.42,521.02,198.00000000000068,False
2022-10-31,2022-12-30,28.0,555.15,530.18,-699.1600000000008,False
2023-04-12,2023-05-24,29.0,521.19,480.83,-1170.440000000002,False
2023-07-27,2023-09-12,30.0,505.23,479.9,-759.9000000000012,False
2023-10-06,2024-01-02,29.0,524.81,539.34,421.3700000000025,False
2024-05-09,2024-06-25,30.0,507.03,484.5,-675.8999999999992,False
