Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-14,2019-08-21,86.0,173.51,180.94,638.9800000000006,False
2019-08-22,2019-08-29,83.0,180.09,181.17,89.63999999999868,False
2019-09-03,2019-09-13,84.0,179.2,177.27,-162.11999999999819,False
2019-10-10,2019-10-23,86.0,174.88,171.32,-306.1600000000002,False
2019-10-30,2019-11-08,83.0,179.25,178.97,-23.240000000000094,False
2019-11-14,2019-12-09,83.0,179.75,182.92,263.109999999999,False
2019-12-13,2020-01-31,81.0,185.14,198.97,1120.230000000001,False
2020-02-11,2020-02-26,74.0,203.94,187.21,-1238.0199999999993,False
2020-03-09,2020-03-10,87.0,171.13,182.6,997.8899999999999,False
2020-03-30,2020-04-07,91.0,165.57,168.59,274.82000000000096,False
2020-04-09,2020-04-21,87.0,173.69,160.53,-1144.9199999999996,False
2020-04-29,2020-06-15,82.0,181.79,191.76,817.54,False
2020-06-24,2020-06-30,79.0,191.41,193.17,139.03999999999928,False
2020-07-07,2020-07-14,78.0,194.2,193.33,-67.85999999999814,False
2020-07-21,2020-07-31,77.0,196.48,190.4,-468.1599999999988,False
2020-08-11,2020-09-09,76.0,197.77,204.06,478.0399999999994,False
2020-09-18,2020-09-23,75.0,202.61,195.37,-543.0000000000007,False
2020-10-02,2020-10-19,75.0,201.46,196.97,-336.7500000000007,False
2020-11-09,2020-11-23,70.0,212.68,208.16,-316.4000000000007,False
2020-12-01,2020-12-14,71.0,211.2,207.25,-280.4499999999992,False
2020-12-22,2020-12-28,72.0,205.84,212.63,488.8799999999994,False
2020-12-31,2021-01-12,68.0,218.73,208.86,-671.1599999999984,False
2021-02-05,2021-02-23,71.0,208.77,212.11,237.14000000000024,False
2021-02-24,2021-03-22,68.0,219.43,208.0,-777.2400000000005,False
2021-04-01,2021-05-07,68.0,216.86,232.12,1037.6799999999994,False
2021-05-21,2021-06-04,66.0,226.77,230.14,222.41999999999842,False
2021-06-07,2021-06-21,65.0,231.32,234.32,195.0,False
2021-06-24,2021-07-06,63.0,236.24,239.6,211.67999999999907,False
2021-07-07,2021-07-26,63.0,240.0,250.25,645.75,False
2021-07-27,2021-08-04,60.0,250.93,236.67,-855.6000000000012,False
2021-09-27,2021-10-05,65.0,229.6,224.28,-345.79999999999956,False
2021-10-08,2021-10-15,65.0,230.27,230.99,46.799999999999926,False
2021-10-20,2021-10-28,65.0,231.42,209.84,-1402.699999999999,False
2021-11-10,2021-11-17,68.0,215.56,205.06,-714.0,False
2021-12-08,2022-01-11,70.0,208.99,214.38,377.29999999999905,False
2022-02-01,2022-02-11,63.0,232.36,224.69,-483.210000000001,False
2022-03-16,2022-04-11,69.0,211.87,214.75,198.7199999999997,False
2022-04-22,2022-04-27,70.0,208.17,214.11,415.80000000000183,False
2022-05-04,2022-05-06,69.0,214.52,202.82,-807.3000000000012,False
2022-05-19,2022-06-13,74.0,197.37,192.26,-378.140000000001,False
2022-06-27,2022-07-07,71.0,203.56,202.8,-53.959999999999354,False
2022-07-11,2022-08-01,71.0,205.06,211.36,447.3000000000008,False
2022-08-10,2022-08-24,69.0,212.1,206.67,-374.67000000000047,False
2022-09-13,2022-09-19,73.0,199.67,193.13,-477.4199999999994,False
2022-10-06,2022-10-13,78.0,185.59,184.66,-72.54000000000053,False
2022-10-20,2022-11-08,77.0,187.22,201.78,1121.1200000000001,False
2022-11-15,2022-12-09,70.0,209.99,208.7,-90.30000000000143,False
2022-12-16,2022-12-20,71.0,206.89,205.36,-108.62999999999806,False
2023-01-03,2023-01-25,70.0,207.39,224.9,1225.7000000000014,False
2023-01-26,2023-02-10,66.0,224.71,227.2,164.33999999999872,False
2023-03-07,2023-03-14,66.0,223.17,218.66,-297.6599999999994,False
2023-03-23,2023-04-27,66.0,222.59,229.01,423.7199999999992,False
2023-05-11,2023-05-24,64.0,231.01,222.25,-560.6399999999994,False
2023-06-07,2023-06-14,65.0,225.27,223.44,-118.95000000000081,False
2023-06-20,2023-07-24,65.0,226.47,240.74,927.5500000000006,False
2023-08-07,2023-08-18,61.0,241.51,238.17,-203.7400000000002,False
2023-08-25,2023-09-15,61.0,242.57,241.07,-91.5,False
2023-10-09,2023-10-24,63.0,234.44,234.65,13.230000000000501,False
2023-11-03,2023-12-26,61.0,243.6,259.16,949.1600000000019,False
2023-12-29,2024-02-15,57.0,260.35,280.98,1175.9099999999999,False
2024-02-16,2024-03-06,54.0,278.56,280.43,100.98000000000025,False
2024-03-14,2024-03-27,53.0,286.41,279.02,-391.6700000000023,False
2024-04-26,2024-05-02,55.0,274.52,267.61,-380.04999999999825,False
2024-05-09,2024-05-23,54.0,278.54,274.23,-232.74000000000012,False
2024-06-07,2024-06-17,54.0,278.67,271.17,-405.0,False
2024-06-25,2024-07-01,54.0,273.53,263.24,-555.659999999998,False
2024-07-11,2024-07-12,56.0,262.55,265.74,178.63999999999987,False
