Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-08-28,2019-10-15,41.0,359.97,370.96,450.58999999999804,False
2019-11-18,2019-12-09,40.0,369.46,351.21,-730.0,False
2020-02-11,2020-02-28,43.0,344.42,275.11,-2980.33,False
2020-04-17,2020-04-28,94.0,154.0,131.3,-2133.799999999999,False
2020-05-27,2020-07-08,94.0,149.52,180.08,2872.6400000000003,False
2020-08-27,2020-09-09,83.0,174.2,160.78,-1113.859999999999,False
2020-10-09,2020-10-19,86.0,167.33,167.11,-18.919999999999902,False
2020-10-20,2020-10-30,86.0,167.24,144.39,-1965.100000000002,False
2020-11-11,2021-01-04,77.0,182.15,202.72,1583.8899999999994,False
2021-02-10,2021-04-14,67.0,211.92,252.43,2714.1700000000014,False
2021-05-28,2021-06-30,59.0,247.02,239.56,-440.14000000000044,False
2021-08-12,2021-08-24,61.0,238.18,221.43,-1021.75,False
2021-09-29,2021-10-25,64.0,225.36,212.87,-799.3600000000006,False
2021-11-16,2021-11-29,64.0,225.8,198.5,-1747.2000000000007,False
2021-12-30,2022-01-28,70.0,202.71,190.57,-849.8000000000011,False
2022-02-28,2022-03-04,68.0,205.34,180.84,-1666.0,False
2022-04-05,2022-04-13,75.0,182.65,182.87,16.499999999999915,False
2022-06-13,2022-06-16,119.0,115.86,133.36,2082.500000000002,False
2022-06-17,2022-07-11,103.0,136.8,136.99,19.569999999999766,False
2022-07-13,2022-09-02,98.0,143.95,151.82,771.2600000000004,False
2022-10-25,2023-02-24,97.0,146.65,198.15,4995.5,False
2023-03-09,2023-03-10,74.0,201.24,203.07,135.41999999999882,False
2023-03-31,2023-05-02,70.0,212.43,203.25,-642.6000000000005,False
2023-06-02,2023-07-13,69.0,213.32,216.85,243.57000000000008,False
2023-07-25,2023-08-28,69.0,214.12,227.06,892.8599999999999,False
2023-11-06,2024-01-11,78.0,192.95,222.66,2317.3800000000006,False
2024-05-10,2024-06-20,86.0,178.51,176.3,-190.05999999999824,False
2024-06-28,2024-07-09,84.0,182.01,183.24,103.32000000000153,False
