Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-05,2019-10-01,127.0,117.64,116.01,-207.00999999999942,False
2019-10-18,2019-11-21,130.0,114.74,118.77,523.9000000000001,False
2019-12-17,2020-01-10,126.0,118.6,116.44,-272.15999999999957,False
2020-02-18,2020-02-26,136.0,110.24,98.04,-1659.1999999999985,False
2020-04-02,2020-05-18,193.0,76.12,92.55,3170.9899999999984,False
2020-06-01,2020-06-18,164.0,92.79,91.94,-139.4000000000014,False
2020-07-22,2020-08-04,167.0,91.04,86.49,-759.850000000002,False
2020-08-14,2020-08-25,167.0,90.35,86.13,-704.7399999999998,False
2020-10-12,2020-10-22,201.0,74.51,73.4,-223.1099999999999,False
2020-11-10,2020-12-15,180.0,83.07,89.37,1134.000000000002,False
2020-12-16,2020-12-21,170.0,88.69,86.09,-441.99999999999903,False
2021-01-08,2021-01-28,165.0,91.08,89.02,-339.9000000000004,False
2021-02-11,2021-03-23,163.0,92.02,101.97,1621.8500000000004,False
2021-04-08,2021-04-13,148.0,103.02,102.24,-115.44000000000017,False
2021-04-30,2021-05-24,147.0,103.07,105.6,371.9100000000002,False
2021-06-07,2021-06-22,141.0,107.75,106.4,-190.3499999999992,False
2021-08-03,2021-08-18,148.0,102.6,96.7,-873.1999999999987,False
2021-09-08,2021-09-13,157.0,96.39,97.97,248.05999999999972,False
2021-09-27,2021-11-24,147.0,102.97,117.19,2090.3399999999997,False
2021-11-26,2021-11-29,135.0,114.51,114.85,45.89999999999854,False
2021-11-30,2021-12-02,137.0,112.87,115.14,310.98999999999944,False
2021-12-08,2021-12-22,131.0,118.45,116.13,-303.920000000001,False
2021-12-30,2022-02-23,131.0,117.43,135.55,2373.7200000000007,False
2022-03-02,2022-03-25,102.0,154.14,169.31,1547.3400000000015,False
2022-03-31,2022-04-11,98.0,162.83,165.56,267.539999999999,False
2022-04-13,2022-04-26,93.0,171.67,156.53,-1408.0199999999986,False
2022-05-11,2022-06-15,97.0,163.16,164.26,106.69999999999945,False
2022-07-25,2022-08-19,107.0,148.48,157.69,985.4700000000008,False
2022-08-22,2022-09-08,102.0,156.9,155.95,-96.90000000000174,False
2022-09-21,2022-09-23,103.0,155.01,144.77,-1054.719999999998,False
2022-10-10,2022-11-29,101.0,157.14,181.03,2412.8900000000017,False
2022-12-27,2023-01-13,90.0,179.63,177.56,-186.2999999999994,False
2023-01-20,2023-02-02,89.0,180.9,169.01,-1058.2100000000014,False
2023-03-09,2023-03-14,100.0,160.51,160.76,25.0,False
2023-03-31,2023-04-28,98.0,163.16,168.58,531.1600000000016,False
2023-06-08,2023-06-23,101.0,159.24,151.35,-796.8900000000015,False
2023-07-10,2023-07-19,103.0,155.25,154.69,-57.680000000000234,False
2023-07-25,2023-08-10,98.0,162.56,160.83,-169.539999999999,False
2023-08-14,2023-08-21,97.0,164.03,160.36,-355.98999999999876,False
2023-08-23,2023-08-25,100.0,159.25,159.12,-12.999999999999545,False
2023-09-05,2023-10-06,95.0,166.46,162.23,-401.8500000000017,False
2023-10-20,2023-10-25,95.0,166.83,155.87,-1041.2000000000007,False
2023-11-28,2023-12-06,108.0,145.51,142.53,-321.8399999999989,False
2023-12-15,2024-01-10,105.0,149.35,144.5,-509.24999999999943,False
2024-01-30,2024-03-05,103.0,150.12,149.59,-54.59000000000012,False
2024-03-18,2024-04-18,100.0,155.41,157.57,215.99999999999966,False
2024-04-26,2024-05-10,94.0,165.89,165.82,-6.579999999999359,False
2024-05-16,2024-05-23,97.0,161.09,156.94,-402.5500000000005,False
2024-06-26,2024-07-10,99.0,155.95,155.13,-81.17999999999932,False
