Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-06,2019-09-23,87.0,171.16,167.14,-349.7400000000009,False
2019-10-21,2019-11-22,88.0,168.94,176.79,690.7999999999995,False
2019-12-18,2020-01-29,86.0,174.64,175.67,88.5800000000001,False
2020-02-13,2020-02-27,83.0,180.12,159.55,-1707.3099999999995,False
2020-04-03,2020-04-27,116.0,127.45,139.88,1441.8799999999992,False
2020-04-30,2020-05-08,105.0,141.9,136.91,-523.950000000001,False
2020-05-11,2020-05-12,111.0,134.28,127.59,-742.5899999999997,False
2020-05-26,2020-06-18,102.0,144.94,148.23,335.5799999999992,False
2020-07-10,2020-08-04,104.0,142.45,147.33,507.5200000000025,False
2020-08-11,2020-09-22,93.0,160.28,162.68,223.20000000000053,False
2020-10-08,2020-10-28,86.0,173.78,161.16,-1085.3200000000004,False
2020-11-06,2020-12-23,80.0,184.27,209.99,2057.6,False
2021-01-08,2021-01-15,72.0,210.03,205.97,-292.32000000000016,False
2021-02-11,2021-04-29,74.0,202.18,223.9,1607.28,False
2021-05-11,2021-05-20,66.0,229.16,222.13,-463.9800000000001,False
2021-06-01,2021-06-15,65.0,232.95,222.5,-679.2499999999993,False
2021-07-06,2021-08-10,69.0,218.56,231.88,919.0799999999995,False
2021-08-12,2021-08-19,65.0,231.94,227.73,-273.65000000000055,False
2021-09-03,2021-09-08,66.0,228.36,224.4,-261.3600000000005,False
2021-10-15,2021-11-03,68.0,220.72,222.8,141.44000000000085,False
2021-11-08,2021-11-22,67.0,225.73,218.14,-508.5300000000002,False
2021-12-16,2021-12-23,72.0,209.61,205.22,-316.08000000000106,False
2022-01-05,2022-01-25,71.0,211.06,202.3,-621.9599999999994,False
2022-03-10,2022-03-15,81.0,184.36,187.79,277.8299999999982,False
2022-03-18,2022-04-11,77.0,194.72,189.27,-419.6499999999991,False
2022-04-22,2022-04-28,78.0,190.63,189.92,-55.38000000000062,False
2022-05-05,2022-05-19,75.0,197.87,192.65,-391.4999999999999,False
2022-06-06,2022-06-14,76.0,195.19,183.28,-905.1599999999997,False
2022-07-21,2022-08-30,82.0,180.03,190.7,874.9399999999989,False
2022-10-10,2022-12-09,86.0,171.89,211.63,3417.640000000001,False
2022-12-28,2022-12-30,72.0,212.19,214.3,151.92000000000098,False
2023-01-03,2023-01-09,72.0,214.3,210.67,-261.3600000000017,False
2023-02-07,2023-02-10,75.0,205.47,200.47,-375.0,False
2023-03-15,2023-03-16,81.0,188.12,189.14,82.61999999999853,False
2023-04-04,2023-05-15,80.0,190.94,194.31,269.60000000000036,False
2023-06-08,2023-07-21,77.0,198.15,208.6,804.6499999999992,False
2023-07-24,2023-07-28,74.0,209.32,195.19,-1045.6199999999997,False
2023-09-05,2023-09-08,82.0,185.7,184.52,-96.75999999999823,False
2023-09-15,2023-09-29,79.0,193.04,184.74,-655.6999999999987,False
2023-10-18,2023-10-24,83.0,183.47,181.46,-166.82999999999925,False
2023-11-06,2024-01-10,81.0,187.5,202.4,1206.9000000000005,False
2024-01-30,2024-02-06,74.0,205.9,193.64,-907.2400000000014,False
2024-02-22,2024-03-19,76.0,200.81,199.04,-134.52000000000078,False
2024-03-28,2024-04-08,74.0,205.25,197.76,-554.2600000000007,False
2024-05-02,2024-05-30,78.0,193.64,200.91,567.0600000000009,False
2024-06-07,2024-07-09,73.0,208.78,210.6,132.8599999999995,False
