Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-12-06,2020-03-02,255.0,58.6,67.09,2164.9500000000007,False
2020-03-06,2020-03-12,225.0,67.96,52.22,-3541.4999999999986,False
2020-04-15,2020-05-08,249.0,59.31,57.43,-468.12000000000063,False
2020-06-01,2020-06-29,230.0,63.91,59.56,-1000.4999999999986,False
2020-07-15,2020-08-31,225.0,64.75,69.79,1134.0000000000014,False
2020-09-16,2020-09-17,210.0,70.09,69.88,-44.10000000000167,False
2020-09-18,2020-09-22,212.0,69.23,69.52,61.47999999999831,False
2020-09-30,2020-11-11,212.0,69.39,77.54,1727.800000000001,False
2020-11-12,2020-11-25,195.0,76.67,75.97,-136.50000000000057,False
2020-11-30,2020-12-04,203.0,73.59,72.52,-217.21000000000151,False
2020-12-30,2021-02-19,196.0,75.91,78.1,429.23999999999955,False
2021-04-01,2021-05-06,198.0,75.77,74.01,-348.4799999999982,False
2021-06-16,2021-06-25,204.0,73.3,73.86,114.24000000000046,False
2021-06-28,2021-09-20,199.0,75.15,81.69,1301.4599999999984,False
2021-10-22,2022-01-10,179.0,84.42,84.29,-23.269999999999186,False
2022-03-01,2022-04-21,195.0,77.44,76.18,-245.69999999999823,False
2022-05-31,2022-09-06,199.0,75.69,87.37,2324.3200000000015,False
2022-09-13,2022-09-15,174.0,88.86,86.01,-495.899999999999,False
2022-11-10,2022-12-27,185.0,83.2,84.0,147.9999999999995,False
2023-03-22,2023-05-03,208.0,74.13,75.39,262.08000000000106,False
2023-06-23,2023-07-11,208.0,74.17,72.19,-411.8400000000008,False
2023-07-27,2023-08-02,210.0,73.27,71.91,-285.5999999999999,False
2023-09-18,2023-09-26,225.0,68.24,65.34,-652.4999999999981,False
2023-11-01,2023-12-05,261.0,58.43,58.23,-52.20000000000074,False
2023-12-08,2024-01-18,255.0,59.7,57.65,-522.7500000000011,False
2024-03-12,2024-06-14,265.0,57.15,73.06,4216.150000000001,False
