Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-04-14,2020-05-14,55.0,270.5,290.61,1106.0500000000006,False
2020-05-29,2020-06-16,49.0,304.85,293.0,-580.6500000000011,False
2020-06-23,2020-07-13,50.0,297.6,299.71,105.49999999999784,False
2020-07-17,2021-09-29,49.0,306.53,400.41,4600.120000000003,False
2021-10-18,2022-05-16,37.0,424.62,489.22,2390.2000000000007,False
2022-06-01,2022-06-21,32.0,492.55,480.32,-391.3600000000006,False
2022-06-22,2022-09-02,32.0,489.68,516.35,853.4400000000005,False
2022-09-22,2022-12-20,31.0,517.46,520.21,85.25,False
2023-04-14,2023-04-19,31.0,511.79,486.2,-793.290000000001,False
2023-06-07,2023-06-16,33.0,482.13,458.49,-780.1199999999995,False
2023-07-06,2023-07-07,34.0,469.36,461.58,-264.520000000001,False
2023-07-21,2023-08-31,31.0,506.53,476.58,-928.4499999999996,False
2023-09-22,2024-03-04,31.0,506.1,481.87,-751.1300000000006,False
2024-05-22,2024-05-24,30.0,521.35,508.17,-395.4000000000002,False
