Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-10-25,2020-02-28,87.0,172.33,159.81,-1089.240000000001,False
2020-05-20,2020-10-28,89.0,166.03,173.37,653.2600000000003,False
2020-11-12,2020-12-21,74.0,200.49,202.49,148.0,False
2021-01-06,2021-02-01,71.0,209.8,198.6,-795.2000000000012,False
2021-02-16,2021-03-25,69.0,213.99,216.09,144.8999999999996,False
2021-03-31,2021-06-15,67.0,220.41,222.84,162.81000000000046,False
2021-06-17,2021-06-21,67.0,219.07,217.51,-104.52000000000015,False
2021-07-07,2021-07-12,65.0,228.35,221.22,-463.4499999999997,False
2021-08-16,2021-09-07,65.0,227.49,213.0,-941.8500000000006,False
2021-10-19,2022-02-25,64.0,225.76,246.41,1321.6000000000004,False
2022-03-03,2022-04-13,58.0,255.46,244.63,-628.1400000000008,False
2022-04-22,2022-04-25,63.0,234.3,236.42,133.5599999999985,False
2022-08-04,2022-09-28,65.0,227.35,201.83,-1658.7999999999988,False
2022-12-05,2023-01-27,68.0,211.06,202.39,-589.5600000000011,False
2023-03-08,2023-03-09,70.0,203.57,199.57,-280.0,False
2023-05-08,2023-05-11,72.0,199.94,198.08,-133.91999999999894,False
2023-05-26,2023-09-27,74.0,193.1,202.4,688.2000000000008,False
2023-11-20,2024-04-09,65.0,221.1,240.79,1279.85,False
