Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-10-17,2019-10-23,84.0,177.94,171.32,-556.0800000000004,False
2019-10-31,2019-11-01,83.0,178.86,180.93,171.80999999999943,False
2019-11-05,2019-11-07,84.0,176.37,178.43,173.0400000000002,False
2019-11-08,2019-11-11,83.0,178.97,179.54,47.309999999999434,False
2019-11-21,2020-03-10,83.0,179.89,182.6,224.93000000000066,False
2020-05-21,2020-10-27,78.0,190.62,190.06,-43.68000000000018,False
2020-11-17,2021-01-26,71.0,210.71,202.01,-617.7000000000012,False
2021-02-26,2021-03-24,70.0,212.39,208.07,-302.3999999999995,False
2021-03-30,2021-08-24,70.0,211.9,234.24,1563.8000000000002,False
2021-08-30,2021-09-01,65.0,231.23,230.12,-72.14999999999904,False
2022-01-14,2022-01-24,70.0,214.67,201.85,-897.3999999999995,False
2022-02-01,2022-03-07,64.0,232.36,190.7,-2666.2400000000016,False
2022-03-25,2022-04-14,66.0,218.43,212.79,-372.240000000001,False
2022-05-20,2022-06-01,72.0,199.03,209.93,784.8000000000004,False
2022-07-21,2022-09-12,67.0,216.19,206.63,-640.5200000000002,False
2022-09-13,2022-09-19,72.0,199.67,193.13,-470.8799999999994,False
2022-11-14,2023-03-29,69.0,206.86,223.3,1134.36,False
2023-04-03,2023-06-15,63.0,229.0,226.17,-178.2900000000008,False
2023-06-23,2023-06-27,63.0,229.55,227.34,-139.2300000000005,False
2023-07-06,2023-09-26,60.0,238.88,229.65,-553.7999999999994,False
2023-11-08,2023-11-10,59.0,243.91,245.25,79.0600000000002,False
2023-11-17,2024-04-17,58.0,249.56,272.69,1341.5399999999997,False
2024-06-27,2024-06-28,55.0,266.59,262.47,-226.59999999999712,False
