Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-10-18,2019-10-24,260.0,57.51,57.63,31.200000000001182,False
2019-10-25,2020-01-28,257.0,58.26,59.11,218.45000000000036,False
2020-02-07,2020-02-26,250.0,60.09,55.92,-1042.5000000000005,False
2020-05-22,2021-07-08,281.0,52.93,81.38,7994.449999999999,False
2021-08-30,2021-09-21,187.0,85.86,79.23,-1239.809999999999,False
2021-10-20,2021-10-25,186.0,85.21,85.68,87.42000000000243,False
2021-11-01,2022-01-24,186.0,85.32,84.09,-228.7799999999981,False
2022-04-01,2022-05-13,178.0,89.08,82.49,-1173.0200000000007,False
2022-05-18,2022-06-07,191.0,82.04,88.12,1161.2799999999997,False
2022-08-30,2022-09-07,207.0,76.35,76.17,-37.25999999999847,False
2022-09-09,2022-09-22,203.0,78.07,69.86,-1666.6299999999987,False
2022-11-14,2023-02-17,192.0,81.14,81.3,30.719999999999345,False
2023-03-02,2023-03-16,187.0,83.41,76.7,-1254.7699999999988,False
2023-06-06,2023-06-27,195.0,79.01,81.64,512.8499999999991,False
2023-07-03,2023-09-14,186.0,83.18,82.63,-102.30000000000211,False
2023-09-18,2023-09-19,191.0,80.98,80.91,-13.370000000001411,False
2023-09-20,2023-09-22,193.0,80.06,78.37,-326.16999999999956,False
2023-12-01,2024-05-31,185.0,83.35,91.53,1513.3000000000013,False
