Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-05,2019-09-30,255.0,58.72,59.2,122.40000000000101,False
2019-10-22,2019-11-20,255.0,58.8,59.06,66.3000000000013,False
2019-12-13,2020-01-06,249.0,60.31,60.87,139.4399999999988,False
2020-02-19,2020-02-26,274.0,54.85,47.87,-1912.5200000000011,False
2020-04-02,2020-05-18,489.0,30.15,38.93,4293.420000000001,False
2020-05-21,2020-06-18,397.0,38.72,40.18,579.6200000000003,False
2020-07-23,2020-08-04,410.0,37.72,37.04,-278.7999999999999,False
2020-08-12,2020-08-24,400.0,38.58,37.02,-623.9999999999981,False
2020-10-14,2020-10-23,503.0,30.52,30.39,-65.3899999999995,False
2020-11-10,2020-12-23,449.0,34.13,38.32,1881.309999999999,False
2021-01-08,2021-01-28,377.0,41.42,40.67,-282.75,False
2021-02-10,2021-03-23,348.0,44.71,47.83,1085.759999999999,False
2021-04-09,2021-04-12,326.0,48.19,47.81,-123.87999999999852,False
2021-04-30,2021-05-25,318.0,49.39,51.61,705.9599999999996,False
2021-06-04,2021-06-22,284.0,55.75,54.43,-374.8800000000001,False
2021-08-04,2021-08-16,325.0,48.51,48.51,0.0,False
2021-08-17,2021-08-18,328.0,48.01,47.01,-328.0,False
2021-09-03,2021-09-14,323.0,48.62,48.45,-54.909999999998256,False
2021-09-16,2021-11-09,316.0,49.69,59.03,2951.440000000001,False
2021-11-11,2021-11-15,280.0,57.69,58.03,95.20000000000095,False
2021-12-13,2021-12-21,290.0,55.65,54.52,-327.6999999999987,False
2022-01-04,2022-02-23,272.0,59.2,67.64,2295.6799999999994,False
2022-03-02,2022-03-22,225.0,72.92,75.57,596.2499999999981,False
2022-03-28,2022-04-27,215.0,76.8,74.86,-417.0999999999995,False
2022-05-09,2022-06-16,216.0,76.06,77.74,362.8799999999984,False
2022-07-22,2022-09-08,232.0,71.15,78.64,1737.679999999999,False
2022-10-07,2022-11-29,205.0,81.8,90.7,1824.5000000000011,False
2022-12-27,2023-02-03,194.0,87.99,85.96,-393.8200000000002,False
2023-02-17,2023-02-22,201.0,84.49,83.51,-196.97999999999794,False
2023-03-09,2023-03-14,203.0,83.7,81.75,-395.8500000000006,False
2023-03-31,2023-04-26,204.0,82.83,83.53,142.80000000000058,False
2023-05-25,2023-06-02,214.0,79.08,79.9,175.48000000000158,False
2023-06-08,2023-06-23,207.0,81.78,77.36,-914.9400000000004,False
2023-07-06,2023-08-28,213.0,79.09,88.18,1936.1700000000008,False
2023-09-01,2023-09-25,188.0,90.74,90.43,-58.279999999997756,False
2023-10-19,2023-10-30,186.0,91.8,84.91,-1281.5400000000002,False
2023-11-27,2023-12-06,200.0,84.63,81.91,-543.9999999999998,False
2023-12-21,2024-01-10,199.0,84.73,81.55,-632.8200000000013,False
2024-01-30,2024-02-15,197.0,85.0,85.62,122.1400000000009,False
2024-02-20,2024-04-19,197.0,84.79,94.97,2005.4599999999984,False
2024-05-20,2024-05-24,181.0,94.34,91.37,-537.5699999999998,False
2024-06-26,2024-07-11,187.0,90.59,90.29,-56.09999999999947,False
