Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-12-09,2020-02-28,238.0,62.99,62.18,-192.78000000000054,False
2020-04-15,2020-05-11,255.0,58.63,55.92,-691.0500000000002,False
2020-06-02,2020-06-26,244.0,60.79,55.18,-1368.84,False
2020-07-21,2020-08-21,245.0,59.69,59.42,-66.14999999999903,False
2020-10-05,2020-11-24,238.0,61.45,64.23,661.6400000000003,False
2020-12-01,2020-12-04,233.0,63.28,62.41,-202.71000000000106,False
2021-01-21,2021-02-19,234.0,62.75,61.41,-313.5600000000008,False
2021-03-19,2021-05-17,235.0,62.2,65.37,744.9500000000004,False
2021-06-15,2021-06-22,222.0,66.45,64.04,-535.0199999999993,False
2021-07-21,2021-09-16,227.0,64.78,67.44,603.8199999999993,False
2021-10-22,2021-12-02,220.0,67.25,66.73,-114.39999999999912,False
2021-12-08,2022-01-18,214.0,68.87,68.57,-64.20000000000243,False
2022-03-08,2022-05-02,208.0,70.7,70.53,-35.360000000000355,False
2022-05-31,2022-06-15,198.0,74.33,66.77,-1496.8800000000006,False
2022-07-18,2022-09-16,211.0,68.79,74.47,1198.4799999999984,False
2022-11-04,2023-01-05,219.0,67.09,69.6,549.689999999998,False
2023-01-11,2023-01-12,205.0,72.08,71.59,-100.44999999999895,False
2023-03-31,2023-05-09,218.0,67.69,68.73,226.72000000000136,False
2023-06-22,2023-07-11,224.0,66.0,65.92,-17.919999999999618,False
2023-07-18,2023-07-19,225.0,65.57,66.24,150.7500000000004,False
2023-07-24,2023-08-07,217.0,68.28,63.98,-933.1000000000009,False
2023-09-15,2023-09-27,226.0,64.94,60.13,-1087.0599999999988,False
2023-10-31,2024-01-16,243.0,59.69,62.63,714.4200000000012,False
2024-02-22,2024-06-12,238.0,61.52,69.95,2006.34,False
