Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-10-28,2019-11-01,218.0,68.64,69.6,209.27999999999864,False
2019-11-06,2019-11-18,210.0,71.49,68.52,-623.6999999999998,False
2019-12-16,2020-01-21,213.0,70.0,67.58,-515.4600000000004,False
2020-05-26,2020-07-10,323.0,45.91,42.65,-1052.9799999999993,False
2020-07-29,2020-08-03,333.0,44.03,42.25,-592.7400000000004,False
2020-11-24,2021-05-21,348.0,41.98,58.92,5895.120000000002,False
2021-06-02,2021-07-20,254.0,60.94,55.96,-1264.9199999999992,False
2021-09-30,2021-12-21,260.0,58.82,60.5,436.79999999999995,False
2022-01-06,2022-07-06,225.0,68.32,83.28,3366.000000000002,False
2022-07-11,2022-07-15,185.0,85.64,84.54,-203.49999999999895,False
2022-07-26,2022-08-08,176.0,89.63,88.95,-119.6799999999987,False
2022-08-30,2022-10-03,164.0,96.31,91.92,-719.96,False
2022-10-04,2023-02-09,165.0,95.27,114.35,3148.2,False
2023-02-10,2023-03-15,135.0,119.17,101.62,-2369.2499999999995,False
2023-04-06,2023-04-14,137.0,115.05,116.05,137.0,False
2023-04-18,2023-05-02,135.0,116.94,110.1,-923.4000000000004,False
2023-05-30,2023-06-14,151.0,104.04,105.16,169.11999999999853,False
2023-08-01,2023-10-26,147.0,106.62,107.6,144.0599999999985,False
2024-02-20,2024-06-10,153.0,102.75,113.08,1580.4899999999998,False
