Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-20,2019-10-21,246.0,60.82,55.96,-1195.56,False
2019-11-12,2020-02-04,254.0,58.23,56.49,-441.9599999999987,False
2020-04-27,2020-07-07,397.0,37.15,40.64,1385.5300000000009,False
2020-11-25,2021-01-11,342.0,43.63,45.36,591.659999999999,False
2021-01-20,2021-04-13,331.0,45.36,50.79,1797.33,False
2021-05-14,2021-07-22,271.0,56.52,56.67,40.649999999999615,False
2021-09-20,2021-11-24,268.0,57.07,74.83,4759.679999999999,False
2022-01-10,2022-04-28,197.0,81.03,97.55,3254.439999999999,False
2022-05-23,2022-07-01,151.0,109.02,90.98,-2724.0399999999986,False
2022-08-11,2022-10-07,160.0,100.36,118.51,2904.000000000001,False
2022-10-19,2022-12-09,136.0,121.11,110.02,-1508.2400000000005,False
2023-01-23,2023-02-15,135.0,120.13,111.65,-1144.7999999999986,False
2023-04-20,2023-05-12,155.0,103.78,99.43,-674.2499999999991,False
2023-06-09,2023-10-13,154.0,103.89,124.86,3229.3799999999997,False
2023-10-31,2023-11-14,139.0,118.8,115.54,-453.13999999999874,False
2024-01-03,2024-01-24,137.0,119.93,109.67,-1405.6200000000008,False
2024-02-28,2024-05-10,145.0,112.04,121.91,1431.1499999999985,False
