Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-24,2019-10-15,121.0,123.74,116.31,-899.0299999999991,False
2019-11-12,2019-12-11,122.0,120.96,116.23,-577.0599999999988,False
2020-01-06,2020-01-27,122.0,120.6,110.39,-1245.6199999999992,False
2020-04-24,2020-07-06,167.0,87.01,88.57,260.519999999998,False
2020-08-12,2020-08-28,161.0,90.72,85.63,-819.4900000000006,False
2020-11-17,2021-01-06,166.0,87.04,89.8,458.1599999999985,False
2021-01-26,2021-04-15,163.0,89.36,103.42,2291.78,False
2021-05-13,2021-07-12,139.0,106.68,104.28,-333.6000000000008,False
2021-10-05,2022-05-09,140.0,105.86,159.25,7474.6,False
2022-05-27,2022-06-28,89.0,178.28,149.94,-2522.26,False
2022-08-09,2022-09-28,100.0,155.41,145.78,-962.9999999999995,False
2022-10-25,2022-12-14,88.0,174.93,172.33,-228.7999999999995,False
2023-01-20,2023-02-14,85.0,180.9,172.32,-729.3000000000011,False
2023-04-14,2023-05-15,88.0,172.44,157.2,-1341.1200000000008,False
2023-06-28,2023-07-14,97.0,154.92,153.58,-129.97999999999757,False
2023-07-28,2023-10-23,95.0,158.87,160.68,171.95000000000022,False
2023-12-21,2024-01-26,100.0,150.71,149.14,-157.00000000000216,False
2024-02-15,2024-06-04,97.0,154.46,156.13,161.9899999999988,False
