Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-11-19,2019-11-27,123.0,121.42,121.76,41.82000000000042,False
2019-12-11,2020-01-24,120.0,124.66,125.14,57.60000000000048,False
2020-01-31,2020-03-02,120.0,124.62,119.56,-607.2000000000003,False
2020-04-22,2020-05-21,124.0,119.4,111.62,-964.7200000000001,False
2020-06-16,2020-11-17,125.0,118.13,141.88,2968.75,False
2021-01-15,2021-01-25,112.0,134.78,132.24,-284.4799999999991,False
2021-03-30,2021-05-12,112.0,135.45,135.54,10.080000000000382,False
2021-05-26,2021-06-21,109.0,138.12,133.07,-550.4500000000012,False
2021-07-19,2021-10-04,107.0,140.44,138.79,-176.5500000000006,False
2021-11-08,2022-02-04,103.0,144.95,161.53,1707.7400000000014,False
2022-04-13,2022-05-19,96.0,159.46,141.7,-1704.9600000000019,False
2022-07-20,2022-09-12,106.0,141.55,141.1,-47.70000000000181,False
2022-11-10,2023-01-25,106.0,141.18,141.72,57.239999999999156,False
2023-03-24,2023-06-01,102.0,146.72,143.96,-281.5199999999991,False
2023-07-10,2023-09-07,100.0,148.86,153.59,472.999999999999,False
2023-11-08,2023-12-15,100.0,150.01,143.96,-604.9999999999983,False
2024-01-23,2024-04-12,97.0,153.98,155.33,130.9500000000022,False
