Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-10-28,2020-02-06,60.0,247.05,292.46,2724.599999999998,False
2020-04-23,2020-07-06,54.0,285.33,302.81,943.920000000001,False
2020-07-23,2020-09-18,51.0,302.97,308.02,257.5499999999977,False
2020-10-16,2020-12-23,47.0,329.9,337.59,361.4299999999999,False
2021-01-11,2021-02-09,43.0,360.75,329.63,-1338.1600000000003,False
2021-03-16,2021-06-17,43.0,354.6,397.35,1838.25,False
2021-07-19,2021-09-24,38.0,409.06,407.08,-75.24000000000069,False
2021-10-27,2021-12-09,34.0,453.48,473.32,674.5599999999991,False
2021-12-17,2022-01-26,32.0,487.12,458.43,-918.0799999999999,False
2022-02-22,2022-05-12,33.0,462.51,478.8,537.5700000000006,False
2022-07-11,2022-09-12,30.0,516.95,531.25,428.99999999999864,False
2022-10-31,2022-12-02,28.0,555.15,536.16,-531.7200000000003,False
2022-12-21,2023-01-09,29.0,527.54,490.06,-1086.919999999999,False
2023-04-13,2023-05-16,29.0,526.23,479.72,-1348.7899999999997,False
2023-07-28,2023-09-05,30.0,502.91,480.81,-663.0000000000007,False
2023-10-05,2023-12-28,29.0,516.23,524.9,251.4299999999988,False
2024-03-04,2024-03-11,31.0,481.87,489.15,225.67999999999915,False
2024-05-08,2024-06-18,30.0,503.21,481.05,-664.799999999999,False
