Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2019-09-27,2019-10-09,92.0,162.69,153.23,-870.3200000000007,False
2019-11-04,2019-12-19,84.0,176.63,177.47,70.56000000000029,False
2019-12-31,2020-03-02,82.0,180.79,160.34,-1676.8999999999992,False
2020-04-22,2020-07-09,99.0,147.1,165.99,1870.1100000000015,False
2020-07-27,2020-11-03,84.0,176.82,185.38,719.0400000000002,False
2020-11-30,2020-12-31,73.0,204.08,208.22,302.219999999999,False
2021-01-13,2021-02-11,69.0,216.61,207.23,-647.2200000000016,False
2021-03-08,2021-06-09,70.0,210.89,221.5,742.700000000001,False
2021-08-19,2021-09-14,67.0,223.77,203.41,-1364.1200000000008,False
2021-10-21,2022-02-01,64.0,231.28,246.71,987.5200000000004,False
2022-03-03,2022-04-20,58.0,255.46,247.07,-486.62000000000086,False
2022-08-02,2022-09-19,67.0,222.5,216.2,-422.10000000000076,False
2022-11-16,2023-01-03,70.0,212.27,207.58,-328.29999999999984,False
2023-04-25,2023-05-18,76.0,194.75,198.81,308.5600000000002,False
2023-06-21,2023-09-07,73.0,203.65,210.57,505.15999999999906,False
2023-11-07,2024-02-02,70.0,211.41,248.33,2584.400000000001,False
2024-02-08,2024-03-26,61.0,248.82,240.69,-495.9299999999997,False
2024-05-16,2024-06-07,62.0,245.9,227.97,-1111.6600000000003,False
