Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-05-26,2020-05-29,185.0,80.82,85.01,775.1500000000023,False
2020-06-25,2020-07-30,177.0,81.14,81.52,67.2599999999992,False
2020-08-05,2020-08-19,158.0,79.71,77.94,-279.6599999999994,False
2020-09-15,2020-10-01,132.0,80.9,78.59,-304.9200000000003,False
2020-10-14,2020-10-30,131.0,81.05,80.34,-93.00999999999918,False
2020-11-04,2020-11-11,132.0,82.7,85.68,393.3600000000005,False
2020-12-01,2021-04-14,106.0,80.16,77.42,-290.4399999999995,False
2021-05-10,2021-05-14,113.0,79.46,78.07,-157.07000000000005,False
2021-08-13,2021-09-13,98.0,77.71,76.54,-114.65999999999877,False
2021-10-28,2021-11-03,100.0,76.34,75.48,-85.99999999999994,False
2021-11-16,2021-12-20,101.0,75.41,77.96,257.5499999999997,False
2022-01-04,2022-02-01,83.0,78.1,80.03,160.19000000000057,False
2022-02-09,2022-02-24,69.0,80.32,77.16,-218.03999999999976,False
2022-03-10,2022-03-28,67.0,82.21,84.24,136.01000000000008,False
2022-04-04,2022-05-02,55.0,85.35,81.05,-236.49999999999983,False
2022-05-23,2022-06-01,46.0,83.07,83.71,29.440000000000026,False
2022-06-15,2022-07-11,45.0,74.88,79.78,220.50000000000026,False
2022-07-26,2022-08-08,40.0,79.25,81.39,85.60000000000002,False
2022-08-19,2022-09-08,37.0,85.62,82.77,-105.45000000000032,False
2024-02-29,2024-03-08,56.0,47.83,48.0,9.520000000000095,False
2024-03-14,2024-03-28,48.0,47.61,49.19,75.83999999999992,False
2024-04-04,2024-04-18,32.0,48.65,48.57,-2.5599999999999454,False
2024-04-24,2024-04-30,26.0,51.23,50.98,-6.5,False
2024-06-07,2024-06-13,20.0,51.44,50.69,-15.0,False
