Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-06-09,2020-06-26,166.0,90.32,78.93,-1890.7399999999977,False
2020-10-08,2020-10-28,157.0,93.15,90.98,-340.6900000000003,False
2020-11-05,2020-11-10,161.0,94.22,97.14,470.1200000000003,False
2020-11-30,2021-01-22,129.0,92.66,90.29,-305.72999999999877,False
2021-02-23,2021-03-17,138.0,89.04,91.85,387.7799999999984,False
2021-05-10,2021-05-17,122.0,103.74,102.45,-157.37999999999903,False
2021-06-04,2021-06-21,103.0,101.48,101.31,-17.510000000000176,False
2021-07-01,2021-07-20,86.0,99.55,103.74,360.3399999999998,False
2021-08-23,2021-08-31,82.0,105.83,104.66,-95.94000000000014,False
2021-10-14,2021-10-25,72.0,101.65,102.84,85.67999999999984,False
2021-11-15,2021-12-15,72.0,100.6,103.82,231.83999999999992,False
2022-01-03,2022-01-20,60.0,103.49,102.31,-70.79999999999956,False
2022-01-24,2022-02-08,51.0,102.58,104.41,93.32999999999991,False
2022-02-22,2022-03-11,42.0,99.45,106.14,280.9799999999999,False
2022-03-29,2022-04-27,39.0,110.97,113.09,82.68000000000018,False
2022-05-04,2022-06-02,32.0,110.51,111.79,40.960000000000036,False
2022-06-17,2022-07-11,27.0,97.82,107.96,273.78000000000003,False
2022-07-27,2022-08-08,27.0,106.52,109.04,68.04000000000028,False
2022-08-19,2022-09-08,26.0,113.24,109.2,-105.0399999999998,False
2023-01-05,2023-01-09,24.0,103.26,105.19,46.31999999999982,False
2023-01-27,2023-12-04,24.0,101.58,92.73,-212.39999999999986,False
2024-01-05,2024-01-29,22.0,98.54,95.77,-60.940000000000225,False
2024-03-14,2024-04-08,19.0,95.05,96.31,23.940000000000097,False
2024-04-23,2024-04-30,18.0,98.2,98.26,1.080000000000041,False
