Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-05-05,2020-05-13,21.0,686.39,678.8,-159.39000000000067,False
2020-06-08,2020-06-19,22.0,676.24,711.43,774.1799999999987,False
2020-06-25,2020-07-08,18.0,696.84,720.35,423.17999999999984,False
2020-07-24,2020-08-25,11.0,737.39,779.71,465.52000000000055,False
2020-09-03,2020-09-16,9.0,762.45,767.34,44.00999999999988,False
2020-10-09,2020-11-02,8.0,829.35,738.32,-728.2399999999998,False
2021-01-28,2021-02-23,9.0,738.23,658.82,-714.6899999999997,False
2021-05-26,2021-07-06,9.0,735.39,819.11,753.4800000000002,False
2021-07-16,2021-08-03,8.0,831.47,820.31,-89.28000000000065,False
2021-08-06,2021-08-27,8.0,820.15,824.81,37.279999999999745,False
2021-09-07,2021-09-30,6.0,881.76,790.13,-549.78,False
2021-10-29,2021-11-17,6.0,837.07,798.0,-234.4200000000003,False
2021-12-06,2021-12-17,6.0,796.47,822.26,154.73999999999978,False
2022-01-14,2022-11-25,6.0,746.76,674.66,-432.60000000000014,False
2022-12-22,2022-12-28,6.0,655.08,652.54,-15.240000000000464,False
2023-01-18,2023-01-31,5.0,702.68,738.13,177.25000000000023,False
2023-02-23,2023-03-27,5.0,706.32,687.62,-93.50000000000023,False
2023-03-28,2023-04-11,4.0,683.05,706.53,93.92000000000007,False
2023-04-27,2023-05-04,4.0,719.84,729.34,38.0,False
2023-05-10,2023-06-01,3.0,750.29,753.26,8.910000000000082,False
2023-06-12,2023-06-20,2.0,753.88,780.24,52.72000000000003,False
2023-07-07,2023-08-11,2.0,772.31,774.17,3.7200000000000273,False
2023-09-07,2023-09-20,1.0,775.55,757.71,-17.839999999999918,False
2023-09-25,2023-11-10,1.0,733.35,767.27,33.91999999999996,False
2023-12-27,2024-01-08,1.0,806.87,803.26,-3.6100000000000136,False
2024-01-12,2024-01-24,1.0,815.02,795.22,-19.799999999999955,False
2024-01-29,2024-02-01,1.0,831.76,846.33,14.57000000000005,False
2024-02-22,2024-03-22,1.0,880.82,800.97,-79.85000000000002,False
2024-05-21,2024-06-07,1.0,792.24,753.39,-38.85000000000002,False
