Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-06-08,2020-06-25,125.0,119.67,107.51,-1519.9999999999995,False
2020-08-11,2020-09-02,127.0,115.93,118.22,290.829999999999,False
2020-09-10,2020-09-18,110.0,113.39,114.6,133.0999999999993,False
2020-10-15,2020-11-04,89.0,116.33,114.89,-128.1599999999998,False
2020-11-17,2020-12-30,83.0,124.38,126.99,216.62999999999994,False
2021-01-12,2021-02-04,78.0,131.8,131.13,-52.26000000000124,False
2021-02-17,2021-03-11,77.0,134.47,140.57,469.6999999999996,False
2021-04-06,2021-04-13,61.0,143.4,143.5,6.099999999999653,False
2021-06-02,2021-06-08,39.0,150.67,150.64,-1.1700000000000443,False
2021-06-23,2021-07-13,32.0,146.15,148.08,61.76000000000022,False
2021-07-16,2021-07-21,27.0,146.64,147.76,30.240000000000123,False
2021-07-26,2021-08-06,23.0,148.53,150.09,35.88000000000005,False
2021-09-01,2021-09-09,18.0,151.03,149.76,-22.860000000000184,False
2021-09-20,2021-10-18,16.0,145.9,150.52,73.92000000000007,False
2021-11-09,2021-11-30,12.0,154.59,147.09,-90.0,False
2021-12-20,2021-12-29,11.0,150.29,156.8,71.61000000000021,False
2022-01-28,2022-02-15,10.0,152.49,154.1,16.099999999999852,False
2022-03-01,2022-03-28,9.0,149.52,156.62,63.89999999999995,False
2022-04-22,2022-08-15,9.0,152.74,150.27,-22.22999999999999,False
2022-09-06,2022-11-11,9.0,140.27,147.71,66.95999999999998,False
2022-12-19,2023-01-13,9.0,142.82,153.41,95.31000000000003,False
2023-02-01,2023-02-28,8.0,156.7,150.48,-49.75999999999999,False
2023-04-06,2023-05-08,7.0,151.06,152.07,7.069999999999936,False
2023-05-11,2023-05-30,7.0,151.24,152.21,6.789999999999992,False
2023-06-08,2023-07-07,6.0,155.98,159.8,22.92000000000013,False
2023-08-14,2023-09-12,5.0,163.53,161.37,-10.799999999999983,False
2023-09-20,2023-09-27,4.0,159.52,153.33,-24.75999999999999,False
2023-11-13,2024-01-24,4.0,157.79,172.95,60.639999999999986,False
2024-02-06,2024-02-16,3.0,175.18,177.02,5.52000000000001,False
2024-02-22,2024-04-18,3.0,179.07,176.91,-6.47999999999999,False
2024-05-13,2024-06-06,2.0,184.16,183.57,-1.1800000000000068,False
