Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-05-28,2020-05-29,102.0,146.97,148.75,181.56000000000012,False
2020-07-17,2020-08-10,100.0,149.35,148.03,-131.99999999999932,False
2020-08-20,2020-09-16,99.0,151.42,148.4,-298.9799999999982,False
2020-10-13,2020-10-28,100.0,148.36,138.36,-1000.0,False
2020-11-18,2020-12-07,100.0,147.37,148.97,159.99999999999943,False
2020-12-15,2021-02-16,98.0,150.57,165.07,1421.0,False
2021-02-24,2021-03-03,92.0,162.59,156.22,-586.0400000000004,False
2021-03-24,2021-04-20,92.0,161.91,166.48,420.4399999999994,False
2021-04-29,2021-05-10,91.0,164.2,170.27,552.3700000000019,False
2021-06-09,2021-07-13,88.0,165.59,169.27,323.8400000000006,False
2021-07-29,2021-09-07,74.0,172.18,172.32,10.35999999999899,False
2021-12-16,2022-01-04,62.0,173.01,171.08,-119.65999999999866,False
2022-01-25,2022-02-09,63.0,167.63,171.49,243.18000000000086,False
2022-02-23,2022-03-15,53.0,161.22,176.14,790.7599999999993,False
2022-04-26,2022-05-11,49.0,184.68,176.13,-418.95000000000056,False
2022-06-02,2022-06-15,43.0,177.15,169.99,-307.8799999999999,False
2022-07-05,2022-07-21,42.0,178.14,171.31,-286.85999999999933,False
2022-10-27,2022-11-08,44.0,172.31,173.84,67.32000000000005,False
2022-11-16,2022-11-25,37.0,173.46,177.24,139.86000000000004,False
2022-12-20,2022-12-27,24.0,175.67,177.43,42.240000000000464,False
2023-01-11,2023-01-20,20.0,174.88,168.74,-122.79999999999973,False
2023-06-23,2023-07-03,21.0,165.48,163.35,-44.729999999999905,False
2023-07-14,2023-07-31,21.0,159.87,167.53,160.85999999999993,False
2023-08-14,2023-08-30,17.0,173.44,163.73,-165.07000000000014,False
2024-01-08,2024-02-01,15.0,161.53,158.36,-47.54999999999981,False
2024-03-01,2024-03-22,15.0,162.12,155.23,-103.35000000000022,False
