Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-05-28,2020-06-25,238.0,62.84,59.79,-725.900000000001,False
2020-07-16,2020-09-01,221.0,67.1,69.28,481.7800000000015,False
2020-09-23,2020-09-29,218.0,68.33,70.78,534.1000000000006,False
2020-10-13,2020-10-30,199.0,75.37,73.21,-429.84000000000214,False
2020-11-05,2020-11-18,204.0,74.75,75.79,212.16000000000128,False
2020-12-03,2020-12-28,169.0,73.35,75.49,361.6600000000001,False
2021-02-26,2021-03-24,169.0,73.48,72.83,-109.85000000000096,False
2021-03-29,2021-04-09,174.0,74.8,77.94,546.3600000000001,False
2021-05-06,2021-07-16,163.0,74.01,77.92,637.3299999999995,False
2021-07-23,2021-09-09,163.0,77.2,85.84,1408.3200000000002,False
2021-09-27,2021-10-22,128.0,78.76,84.42,724.4799999999996,False
2021-11-18,2021-12-08,100.0,87.6,90.32,271.9999999999999,False
2022-01-03,2022-01-14,67.0,91.66,83.2,-566.8199999999996,False
2022-03-08,2022-03-16,60.0,81.95,82.51,33.600000000000136,False
2022-03-22,2022-04-25,50.0,82.85,74.04,-440.49999999999943,False
2022-08-05,2022-09-06,38.0,87.98,87.37,-23.17999999999998,False
2022-09-20,2022-09-28,39.0,85.69,82.37,-129.47999999999973,False
2022-11-11,2022-12-29,40.0,83.31,84.08,30.79999999999984,False
2023-01-19,2023-01-30,41.0,82.59,75.05,-309.14000000000027,False
2024-03-28,2024-04-18,52.0,63.91,64.01,5.200000000000443,False
2024-04-30,2024-06-20,42.0,66.97,72.46,230.57999999999979,False
