Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-05-05,2020-06-10,2043.0,7.34,9.37,4147.289999999999,False
2020-07-08,2020-08-05,1259.0,10.22,11.29,1347.129999999998,False
2020-09-21,2020-10-06,940.0,12.52,13.74,1146.8000000000006,False
2020-10-30,2020-11-16,630.0,12.53,13.52,623.7000000000002,False
2020-11-27,2020-11-30,642.0,13.26,13.4,89.88000000000036,False
2020-12-14,2020-12-21,547.0,13.31,13.33,10.939999999999767,False
2021-01-20,2021-01-28,544.0,13.37,13.05,-174.0799999999992,False
2021-02-08,2021-02-12,555.0,14.44,14.96,288.60000000000076,False
2021-03-08,2021-03-29,421.0,11.59,12.95,572.5599999999997,False
2021-04-07,2021-04-09,435.0,14.14,14.4,113.09999999999991,False
2021-05-06,2021-05-07,293.0,14.52,14.81,84.97000000000027,False
2021-06-02,2021-07-26,208.0,16.78,19.29,522.0799999999996,False
2021-08-09,2021-08-31,176.0,20.3,22.39,367.84,False
2021-09-24,2021-10-25,162.0,22.08,23.17,176.58000000000055,False
2021-11-24,2021-12-17,97.0,32.67,27.8,-472.3900000000001,False
2022-01-07,2022-01-14,92.0,27.25,26.94,-28.519999999999882,False
2022-02-16,2022-03-02,94.0,26.51,24.22,-215.26000000000025,False
2022-03-28,2022-04-18,87.0,28.22,21.78,-560.2799999999997,False
2022-12-13,2022-12-30,132.0,18.07,14.61,-456.72000000000014,False
2023-01-20,2023-03-02,130.0,17.84,23.31,711.0999999999999,False
2023-03-20,2023-04-24,77.0,25.9,27.04,87.78000000000004,False
2023-04-27,2023-05-02,59.0,27.23,28.21,57.82000000000002,False
2023-05-05,2023-06-20,56.0,28.68,43.81,847.2800000000002,False
2023-07-12,2023-07-20,31.0,43.9,45.52,50.22000000000014,False
2023-08-04,2023-08-10,20.0,44.68,42.39,-45.79999999999998,False
2023-08-30,2023-09-20,15.0,49.26,42.24,-105.29999999999994,False
2023-10-12,2023-10-27,15.0,46.95,40.5,-96.75000000000004,False
2023-11-14,2023-12-08,14.0,49.66,47.51,-30.09999999999998,False
2023-12-26,2024-01-17,14.0,49.28,56.05,94.77999999999994,False
2024-02-28,2024-03-27,8.0,77.66,90.25,100.72000000000003,False
2024-04-12,2024-05-10,5.0,88.19,89.88,8.449999999999989,False
