Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-10-07,2020-10-28,259.0,57.8,58.36,145.0400000000006,False
2020-11-12,2020-11-17,204.0,63.52,62.36,-236.64000000000075,False
2020-12-03,2021-01-14,168.0,61.88,59.04,-477.1200000000006,False
2021-01-25,2021-02-17,144.0,61.02,59.27,-252.0,False
2021-03-02,2021-03-18,144.0,57.83,60.4,370.08000000000004,False
2021-03-31,2021-05-07,137.0,62.16,66.26,561.7000000000012,False
2021-05-26,2021-07-20,110.0,63.72,62.95,-84.69999999999956,False
2021-09-09,2021-09-16,89.0,67.18,65.38,-160.200000000001,False
2021-09-24,2021-10-22,77.0,63.16,62.95,-16.16999999999952,False
2021-10-27,2021-11-10,66.0,62.64,63.86,80.51999999999992,False
2021-12-14,2022-01-21,53.0,65.97,67.81,97.52000000000018,False
2022-01-26,2022-01-28,44.0,67.02,69.0,87.12000000000018,False
2022-02-08,2022-02-18,36.0,67.89,63.77,-148.3199999999999,False
2022-03-14,2022-05-05,36.0,68.66,74.06,194.4000000000002,False
2022-06-02,2022-06-21,33.0,75.95,67.15,-290.3999999999999,False
2022-07-11,2022-07-21,34.0,71.77,70.85,-31.280000000000058,False
2022-08-02,2022-09-08,28.0,75.93,79.41,97.43999999999971,False
2022-09-20,2022-09-28,22.0,77.22,72.52,-103.40000000000006,False
2022-12-30,2023-01-05,24.0,71.41,70.38,-24.720000000000027,False
2023-01-23,2023-04-06,24.0,66.86,72.31,130.80000000000007,False
2023-05-10,2023-05-24,19.0,75.66,70.85,-91.39000000000004,False
2023-06-21,2023-07-10,17.0,71.64,70.14,-25.5,False
2023-07-20,2023-07-26,17.0,71.07,73.09,34.340000000000174,False
2023-07-28,2023-08-14,17.0,72.35,68.83,-59.83999999999993,False
2023-09-21,2023-10-05,17.0,69.9,64.59,-90.27000000000004,False
2023-11-03,2023-11-15,17.0,70.39,68.77,-27.540000000000077,False
2023-11-22,2023-12-29,14.0,69.59,70.12,7.420000000000016,False
2024-01-16,2024-01-26,12.0,70.32,69.11,-14.519999999999925,False
2024-03-14,2024-03-19,12.0,69.38,70.21,9.95999999999998,False
2024-04-19,2024-04-30,12.0,72.15,73.5,16.199999999999932,False
2024-06-06,2024-06-12,10.0,78.65,78.44,-2.1000000000000796,False
