Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-05-29,2020-06-15,88.0,169.86,167.93,-169.8400000000006,False
2020-06-24,2020-07-16,89.0,165.55,176.87,1007.4799999999993,False
2020-07-21,2020-08-11,71.0,178.66,190.35,829.9899999999998,False
2020-08-17,2020-08-31,56.0,193.87,192.44,-80.08000000000038,False
2020-09-16,2020-09-21,57.0,201.42,194.0,-422.93999999999926,False
2020-10-07,2020-10-15,46.0,204.62,208.81,192.7399999999999,False
2020-10-30,2020-11-18,38.0,177.19,204.03,1019.9200000000001,False
2020-12-18,2021-01-07,31.0,203.6,212.72,282.72000000000014,False
2021-02-02,2021-02-22,30.0,205.93,206.83,27.00000000000017,False
2021-03-08,2021-03-11,30.0,210.89,214.52,108.90000000000072,False
2021-03-18,2021-04-01,25.0,215.36,220.21,121.24999999999986,False
2021-05-03,2021-05-13,20.0,223.74,225.18,28.799999999999955,False
2021-05-27,2021-06-11,17.0,223.9,221.33,-43.689999999999884,False
2021-06-18,2021-07-12,14.0,214.81,221.22,89.73999999999995,False
2021-07-26,2021-08-11,14.0,220.19,226.39,86.79999999999984,False
2021-09-03,2021-10-15,14.0,214.91,225.16,143.5,False
2021-11-17,2021-11-29,13.0,239.75,239.46,-3.7699999999998965,False
2021-12-08,2021-12-16,11.0,247.6,248.35,8.25,False
2021-12-31,2022-01-07,9.0,251.93,254.78,25.64999999999995,False
2022-01-25,2022-02-09,8.0,244.12,246.49,18.960000000000036,False
2022-02-18,2022-02-25,9.0,251.19,246.41,-43.02000000000001,False
2022-03-09,2022-04-13,8.0,253.67,244.63,-72.31999999999994,False
2022-08-12,2022-08-24,7.0,239.95,238.29,-11.619999999999976,False
2022-09-07,2023-06-16,7.0,228.79,204.67,-168.84000000000003,False
2023-06-22,2023-06-28,8.0,203.37,203.09,-2.240000000000009,False
2023-07-07,2023-08-23,5.0,202.82,223.13,101.55000000000001,False
2023-10-20,2023-11-06,4.0,211.34,213.1,7.039999999999964,False
2023-11-14,2024-01-17,4.0,215.69,235.81,80.48000000000002,False
2024-02-01,2024-02-22,4.0,249.27,254.51,20.959999999999923,False
2024-02-27,2024-03-18,3.0,253.29,244.36,-26.789999999999935,False
2024-05-07,2024-05-13,2.0,242.38,245.68,6.600000000000023,False
2024-05-31,2024-07-17,2.0,232.82,243.89,22.139999999999986,False
