Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-06-02,2020-06-17,263.0,56.84,56.31,-139.3900000000003,False
2020-06-25,2020-07-13,266.0,55.25,57.99,728.8400000000005,False
2020-08-12,2020-08-19,219.0,62.57,62.47,-21.90000000000031,False
2020-09-01,2020-10-01,198.0,64.76,62.74,-399.9600000000006,False
2020-10-15,2020-11-03,165.0,65.81,66.3,80.84999999999916,False
2020-11-16,2020-12-15,154.0,70.37,71.27,138.5999999999987,False
2020-12-22,2020-12-28,152.0,71.03,71.3,41.039999999999395,False
2021-01-07,2021-02-02,121.0,76.88,72.41,-540.8699999999999,False
2021-02-19,2021-03-12,103.0,75.05,78.69,374.9200000000001,False
2021-04-05,2021-06-09,82.0,80.47,86.32,479.69999999999953,False
2021-06-21,2021-07-19,64.0,82.06,79.35,-173.4400000000005,False
2021-07-26,2021-08-06,56.0,82.42,84.14,96.31999999999994,False
2021-09-09,2021-09-20,53.0,84.03,79.42,-244.32999999999998,False
2021-10-18,2021-12-03,44.0,84.09,85.31,53.67999999999995,False
2021-12-21,2021-12-31,43.0,86.74,90.61,166.4100000000002,False
2022-01-25,2022-03-25,41.0,83.33,89.29,244.36000000000033,False
2022-04-20,2022-05-03,35.0,90.55,85.72,-169.04999999999995,False
2022-06-06,2022-06-22,30.0,87.49,74.56,-387.89999999999975,False
2022-11-11,2022-12-22,32.0,81.25,77.98,-104.63999999999987,False
2023-01-18,2023-02-01,31.0,81.78,85.21,106.32999999999977,False
2023-02-21,2023-03-13,30.0,79.96,77.38,-77.39999999999995,False
2023-03-21,2023-04-10,28.0,77.66,80.01,65.80000000000024,False
2023-05-04,2023-06-15,27.0,78.34,81.55,86.66999999999983,False
2023-07-06,2023-07-19,27.0,80.54,83.54,81.0,False
2023-08-16,2023-09-11,22.0,81.0,82.15,25.300000000000125,False
2023-09-25,2023-11-20,18.0,78.99,80.41,25.56000000000003,False
2023-12-18,2024-01-16,18.0,84.71,82.49,-39.95999999999998,False
2024-02-16,2024-04-22,15.0,85.17,89.05,58.19999999999993,False
2024-05-13,2024-06-05,14.0,91.78,90.6,-16.520000000000095,False
