Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-06-08,2020-06-26,196.0,76.29,66.14,-1989.400000000001,False
2020-08-11,2020-08-31,189.0,77.39,77.81,79.38000000000032,False
2020-09-25,2020-09-30,162.0,76.49,76.98,79.38000000000147,False
2020-10-14,2020-11-04,127.0,80.72,79.39,-168.9099999999998,False
2020-11-17,2020-12-14,117.0,87.62,87.62,0.0,False
2020-12-24,2021-01-15,117.0,88.0,88.83,97.1099999999998,False
2021-02-02,2021-02-18,98.0,87.47,89.51,199.9200000000006,False
2021-04-05,2021-04-29,88.0,100.0,102.61,229.67999999999995,False
2021-05-28,2021-06-08,72.0,105.12,104.88,-17.280000000000655,False
2021-06-22,2021-07-13,58.0,101.59,102.63,60.31999999999954,False
2021-07-21,2021-07-27,59.0,103.55,102.99,-33.040000000000134,False
2021-08-03,2021-08-10,50.0,103.99,104.18,9.500000000000597,False
2021-08-13,2021-08-31,42.0,105.0,104.51,-20.579999999999785,False
2021-09-10,2021-09-17,35.0,101.96,100.33,-57.04999999999984,False
2021-10-18,2021-11-08,35.0,102.96,106.83,135.45000000000016,False
2021-12-06,2022-01-07,34.0,103.93,106.49,87.0399999999996,False
2022-01-27,2022-03-22,28.0,99.01,103.29,119.84000000000003,False
2022-03-25,2022-04-14,29.0,103.72,99.94,-109.62000000000003,False
2022-08-15,2022-08-26,25.0,100.08,95.52,-114.00000000000006,False
2022-09-06,2022-11-07,27.0,92.31,96.09,102.06000000000003,False
2022-12-20,2023-01-17,22.0,97.24,101.59,95.70000000000019,False
2023-02-09,2023-02-23,21.0,101.42,100.89,-11.130000000000024,False
2023-03-01,2023-03-14,18.0,101.37,99.48,-34.02000000000001,False
2023-03-21,2023-04-10,15.0,98.68,98.66,-0.3000000000001535,False
2023-04-20,2023-05-08,15.0,100.84,99.15,-25.349999999999966,False
2023-05-31,2023-06-02,13.0,96.85,100.94,53.170000000000044,False
2023-06-14,2023-07-06,12.0,104.05,105.96,22.91999999999996,False
2023-08-14,2023-09-11,12.0,108.93,105.66,-39.24000000000012,False
2023-09-19,2023-11-15,11.0,104.25,104.92,7.370000000000019,False
2024-01-16,2024-01-31,11.0,110.98,112.89,21.009999999999962,False
2024-04-12,2024-04-19,9.0,122.9,120.47,-21.87000000000006,False
2024-05-13,2024-06-05,7.0,125.15,122.93,-15.539999999999992,False
2024-06-27,2024-07-05,8.0,121.82,121.22,-4.7999999999999545,False
