Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-06-09,2020-06-29,400.0,37.42,34.31,-1243.9999999999998,False
2020-08-10,2020-08-13,406.0,36.44,35.77,-272.0199999999978,False
2020-08-18,2020-08-26,349.0,36.14,35.81,-115.1699999999994,False
2020-09-10,2020-09-28,290.0,35.67,35.27,-115.99999999999959,False
2020-10-13,2020-10-28,283.0,36.49,33.98,-710.3300000000014,False
2020-11-17,2020-12-08,271.0,37.77,36.79,-265.58000000000106,False
2021-01-28,2021-03-02,274.0,37.15,37.15,0.0,False
2021-03-08,2021-03-23,274.0,37.02,38.8,487.7199999999984,False
2021-04-05,2021-05-20,215.0,40.33,42.41,447.19999999999965,False
2021-06-02,2021-07-01,166.0,44.61,44.51,-16.600000000000236,False
2021-07-15,2021-07-30,160.0,46.18,46.38,32.000000000000455,False
2021-08-23,2021-09-03,135.0,46.82,48.73,257.84999999999957,False
2021-09-24,2021-10-22,107.0,45.91,47.69,190.46000000000012,False
2021-11-17,2021-11-23,87.0,48.48,48.48,0.0,False
2021-11-30,2021-12-08,62.0,47.39,49.57,135.15999999999997,False
2021-12-16,2022-01-19,48.0,50.22,47.34,-138.23999999999978,False
2022-03-28,2022-04-26,50.0,47.73,48.37,32.00000000000003,False
2022-05-04,2023-02-01,50.0,46.48,40.89,-279.49999999999983,False
2023-02-14,2023-02-24,51.0,40.07,38.13,-98.93999999999988,False
2023-06-16,2023-07-03,45.0,37.69,37.99,13.500000000000192,False
2023-07-12,2023-07-28,44.0,38.53,37.89,-28.160000000000025,False
2023-08-08,2023-11-29,45.0,37.35,36.93,-18.900000000000077,False
2024-01-17,2024-02-28,39.0,38.58,38.8,8.579999999999956,False
2024-03-27,2024-05-10,38.0,39.28,37.81,-55.85999999999996,False
2024-06-05,2024-06-18,39.0,38.21,38.48,10.529999999999845,False
