Date Bought,Date Sold,Quantity,Entry Price,Exit Price,Profit/Loss,Stopped Out
2020-06-09,2020-06-25,243.0,61.57,55.77,-1409.3999999999994,False
2020-08-10,2020-08-27,240.0,61.47,58.9,-616.8000000000001,False
2020-10-12,2020-11-09,230.0,63.88,65.32,331.19999999999783,False
2020-11-17,2020-12-02,225.0,65.45,63.7,-393.75,False
2021-01-19,2021-02-11,234.0,62.75,63.08,77.2199999999996,False
2021-02-17,2021-02-25,200.0,61.97,59.46,-501.9999999999996,False
2021-03-19,2021-03-31,164.0,62.2,64.04,301.76000000000056,False
2021-05-11,2021-06-21,159.0,65.89,64.43,-232.13999999999902,False
2021-06-30,2021-07-19,135.0,63.23,65.22,268.65000000000026,False
2021-09-09,2021-09-13,126.0,69.42,68.33,-137.34000000000043,False
2021-09-23,2021-10-21,107.0,65.21,66.91,181.90000000000032,False
2021-11-17,2021-11-26,90.0,67.27,66.76,-45.89999999999918,False
2021-12-09,2021-12-15,90.0,68.78,70.72,174.5999999999998,False
2022-01-04,2022-01-21,85.0,70.65,68.84,-153.8500000000002,False
2022-03-10,2022-05-02,72.0,70.67,70.53,-10.080000000000041,False
2022-05-31,2022-06-21,69.0,74.33,65.58,-603.75,False
2022-07-11,2022-07-18,71.0,70.26,68.79,-104.36999999999992,False
2022-07-26,2022-08-04,73.0,70.72,74.5,275.94000000000005,False
2022-09-08,2022-09-20,57.0,77.07,73.87,-182.39999999999935,False
2022-09-28,2022-12-01,58.0,69.59,71.37,103.24000000000007,False
2022-12-09,2022-12-13,60.0,70.83,72.67,110.4000000000002,False
2022-12-29,2023-04-12,50.0,71.18,69.66,-76.00000000000051,False
2023-05-05,2023-07-24,43.0,69.03,68.28,-32.25,False
2023-08-11,2023-12-14,44.0,64.57,65.1,23.32000000000005,False
2024-01-03,2024-03-07,45.0,64.49,63.59,-40.499999999999616,False
2024-03-28,2024-04-23,45.0,65.65,66.34,31.049999999999898,False
2024-05-02,2024-06-13,37.0,67.87,70.11,82.87999999999981,False
