Stock,Date,Close,strategy,short_signal,long_signal,signal_length
UNH,2024-07-17,573.28,SMA Slope Change,N/A,N/A,100
JNJ,2024-07-17,156.58,EMA Slope Change,N/A,N/A,100
UNP,2024-07-17,243.89,EMA Slope Change,N/A,N/A,100
CVX,2024-07-17,161.26,EMA Slope Change,N/A,N/A,100
PEP,2024-07-17,169.89,EMA Slope Change,N/A,N/A,20
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
PG,2024-07-16,166.95,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
CVX,2024-07-16,157.77,Unknown,N/A,N/A,N/A
COP,2024-07-16,115.19,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
PG,2024-07-16,166.95,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
CVX,2024-07-16,157.77,Unknown,N/A,N/A,N/A
COP,2024-07-16,115.19,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
PG,2024-07-16,166.95,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
CVX,2024-07-16,157.77,Unknown,N/A,N/A,N/A
COP,2024-07-16,115.19,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
PG,2024-07-16,166.95,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
CVX,2024-07-16,157.77,Unknown,N/A,N/A,N/A
COP,2024-07-16,115.19,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
PG,2024-07-16,166.95,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
CVX,2024-07-16,157.77,Unknown,N/A,N/A,N/A
COP,2024-07-16,115.17,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
PG,2024-07-16,166.95,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
CVX,2024-07-16,157.77,Unknown,N/A,N/A,N/A
COP,2024-07-16,115.17,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
PG,2024-07-16,166.95,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
CVX,2024-07-16,157.77,Unknown,N/A,N/A,N/A
COP,2024-07-16,115.17,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
UNP,2024-07-16,243.11,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
XLB,2024-07-16,92.02,Unknown,N/A,N/A,N/A
BA,2024-07-16,186.05,Unknown,N/A,N/A,N/A
PEP,2024-07-16,164.76,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
D,2024-07-16,51.29,Unknown,N/A,N/A,N/A
XLP,2024-07-16,77.74,Unknown,N/A,N/A,N/A
XLB,2024-07-16,92.02,Unknown,N/A,N/A,N/A
UNP,2024-07-16,243.11,Unknown,N/A,N/A,N/A
HD,2024-07-16,369.12,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
CVX,2024-07-16,157.77,Unknown,N/A,N/A,N/A
COP,2024-07-16,115.17,Unknown,N/A,N/A,N/A
HON,2024-07-16,218.47,Unknown,N/A,N/A,N/A
NEE,2024-07-16,71.9,Unknown,N/A,N/A,N/A
PEP,2024-07-16,164.76,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
UNP,2024-07-16,243.11,Unknown,N/A,N/A,N/A
DUK,2024-07-16,106.52,Unknown,N/A,N/A,N/A
XLRE,2024-07-16,40.54,Unknown,N/A,N/A,N/A
D,2024-07-16,51.29,Unknown,N/A,N/A,N/A
XLB,2024-07-16,92.02,Unknown,N/A,N/A,N/A
HON,2024-07-16,218.47,Unknown,N/A,N/A,N/A
PG,2024-07-16,166.95,Unknown,N/A,N/A,N/A
XLP,2024-07-16,77.74,Unknown,N/A,N/A,N/A
META,2024-07-16,489.79,Unknown,N/A,N/A,N/A
UNP,2024-07-16,243.11,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
XLB,2024-07-16,92.02,Unknown,N/A,N/A,N/A
BA,2024-07-16,186.05,Unknown,N/A,N/A,N/A
PEP,2024-07-16,164.76,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
D,2024-07-16,51.29,Unknown,N/A,N/A,N/A
XLP,2024-07-16,77.74,Unknown,N/A,N/A,N/A
XLB,2024-07-16,92.02,Unknown,N/A,N/A,N/A
UNP,2024-07-16,243.11,Unknown,N/A,N/A,N/A
HD,2024-07-16,369.12,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
CVX,2024-07-16,157.77,Unknown,N/A,N/A,N/A
COP,2024-07-16,115.17,Unknown,N/A,N/A,N/A
HON,2024-07-16,218.47,Unknown,N/A,N/A,N/A
NEE,2024-07-16,71.9,Unknown,N/A,N/A,N/A
PEP,2024-07-16,164.76,Unknown,N/A,N/A,N/A
KO,2024-07-16,64.27,Unknown,N/A,N/A,N/A
XOM,2024-07-16,116.04,Unknown,N/A,N/A,N/A
XLE,2024-07-16,92.3,Unknown,N/A,N/A,N/A
UNP,2024-07-16,243.11,Unknown,N/A,N/A,N/A
DUK,2024-07-16,106.52,Unknown,N/A,N/A,N/A
XLRE,2024-07-16,40.54,Unknown,N/A,N/A,N/A
D,2024-07-16,51.29,Unknown,N/A,N/A,N/A
XLB,2024-07-16,92.02,Unknown,N/A,N/A,N/A
HON,2024-07-16,218.47,Unknown,N/A,N/A,N/A
